SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 26-Mar-2024, 145.05, 145.00, 150.00, 142.05, 143.75, 143.00, 146.04, 119407, 174.38, 2956, 44277, 37.08
21STCENMGM, BE, 26-Mar-2024, 41.20, 41.20, 41.95, 40.40, 41.90, 41.90, 41.34, 21255, 8.79, 60, -, -
360ONE, EQ, 26-Mar-2024, 665.85, 665.80, 666.00, 647.00, 657.00, 650.30, 654.26, 264980, 1733.66, 18757, 161936, 61.11
3IINFOLTD, EQ, 26-Mar-2024, 41.85, 41.80, 42.15, 39.00, 39.25, 39.20, 40.14, 2125357, 853.06, 7688, 1306737, 61.48
3MINDIA, EQ, 26-Mar-2024, 30728.40, 31000.00, 31000.00, 30319.75, 30500.00, 30487.15, 30544.92, 2225, 679.62, 1406, 925, 41.57
3PLAND, BE, 26-Mar-2024, 30.40, 30.55, 30.55, 28.90, 28.90, 28.90, 29.22, 4897, 1.43, 65, -, -
574GS2026, GS, 26-Mar-2024, 98.57, 98.57, 98.98, 98.15, 98.98, 98.98, 98.41, 789, 0.78, 9, 783, 99.24
585GS2030, GS, 26-Mar-2024, 93.81, 93.81, 93.81, 93.81, 93.81, 93.81, 93.81, 200, 0.19, 2, 200, 100.00
5PAISA, EQ, 26-Mar-2024, 487.85, 482.35, 489.50, 472.00, 476.90, 476.05, 477.20, 126595, 604.11, 13897, 70565, 55.74
610GS2031, GS, 26-Mar-2024, 94.60, 94.11, 94.11, 94.11, 94.11, 94.11, 94.11, 11, 0.01, 1, 11, 100.00
63MOONS, EQ, 26-Mar-2024, 402.95, 403.00, 408.50, 390.00, 392.00, 393.75, 399.36, 153743, 613.99, 3612, 120569, 78.42
654GS2032, GS, 26-Mar-2024, 97.30, 97.30, 97.30, 97.30, 97.30, 97.30, 97.30, 145000, 141.09, 2, 145000, 100.00
667GS2050, GS, 26-Mar-2024, 95.25, 95.25, 96.24, 95.25, 95.99, 95.97, 95.54, 14104, 13.47, 12, 10107, 71.66
669GS2024, GS, 26-Mar-2024, 101.35, 100.90, 101.50, 100.90, 100.91, 100.91, 100.93, 27, 0.03, 5, 26, 96.30
676GS2061, GS, 26-Mar-2024, 95.13, 95.65, 95.65, 95.01, 95.25, 95.25, 95.16, 6807, 6.48, 12, 6807, 100.00
689GS2025, GS, 26-Mar-2024, 100.60, 100.50, 100.55, 100.50, 100.55, 100.55, 100.53, 4, 0.00, 2, 2, 50.00
68GS2060, GS, 26-Mar-2024, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 10, 0.01, 2, 10, 100.00
695GS2061, GS, 26-Mar-2024, 98.25, 98.50, 98.50, 98.50, 98.50, 98.50, 98.50, 300, 0.30, 1, 300, 100.00
699GS2051, GS, 26-Mar-2024, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2090, 2.09, 12, 2090, 100.00
706GS2028, GS, 26-Mar-2024, 103.20, 103.00, 103.15, 102.53, 103.15, 103.15, 103.01, 8505, 8.76, 6, 8505, 100.00
710GS2029, GS, 26-Mar-2024, 103.03, 102.95, 103.09, 102.92, 103.00, 103.00, 102.99, 48378, 49.82, 58, 47078, 97.31
716GS2050, GS, 26-Mar-2024, 100.30, 101.00, 101.00, 99.90, 99.90, 99.90, 100.11, 3431, 3.43, 11, 3431, 100.00
717GS2030, GS, 26-Mar-2024, 103.00, 103.02, 103.10, 103.02, 103.10, 103.10, 103.07, 21634, 22.30, 7, 21634, 100.00
718GS2033, GS, 26-Mar-2024, 101.49, 101.45, 101.50, 101.05, 101.40, 101.37, 101.41, 54301, 55.06, 23, 54301, 100.00
718GS2037, GS, 26-Mar-2024, 101.89, 101.89, 101.89, 101.53, 101.69, 101.69, 101.75, 13650, 13.89, 11, 13650, 100.00
719GS2060, GS, 26-Mar-2024, 101.00, 101.10, 101.10, 101.00, 101.00, 101.00, 101.00, 4230, 4.27, 3, 4230, 100.00
725GS2063, GS, 26-Mar-2024, 103.40, 103.00, 103.39, 102.75, 103.00, 103.00, 102.92, 776, 0.80, 5, 776, 100.00
726GS2032, GS, 26-Mar-2024, 101.94, 101.80, 101.80, 101.50, 101.70, 101.70, 101.73, 25022, 25.45, 8, 25022, 100.00
726GS2033, GS, 26-Mar-2024, 101.41, 103.89, 105.00, 103.89, 105.00, 105.00, 104.45, 2, 0.00, 2, 1, 50.00
732GS2030, GS, 26-Mar-2024, 103.26, 103.26, 103.26, 103.26, 103.26, 103.26, 103.26, 1900, 1.96, 2, 1900, 100.00
733GS2026, GS, 26-Mar-2024, 102.86, 102.95, 103.15, 102.95, 103.06, 103.06, 103.03, 11480, 11.83, 19, 11100, 96.69
736GS2052, GS, 26-Mar-2024, 103.25, 104.00, 104.00, 102.50, 102.65, 102.62, 102.80, 4605, 4.73, 8, 3565, 77.42
737GS2028, GS, 26-Mar-2024, 104.24, 104.24, 104.24, 103.50, 103.50, 104.14, 104.15, 3700332, 3853.89, 33, 3700332, 100.00
738GS2027, GS, 26-Mar-2024, 102.93, 102.95, 102.95, 102.85, 102.90, 102.89, 102.90, 898984, 925.04, 79, 893984, 99.44
73GS2053, GS, 26-Mar-2024, 103.20, 102.81, 102.92, 102.81, 102.92, 102.92, 102.82, 1101, 1.13, 3, 1101, 100.00
741GS2036, GS, 26-Mar-2024, 104.15, 103.25, 104.00, 103.25, 104.00, 103.89, 103.85, 27010, 28.05, 53, 27010, 100.00
746GS2073, GS, 26-Mar-2024, 107.25, 105.26, 107.00, 105.26, 107.00, 107.00, 105.70, 4, 0.00, 2, 4, 100.00
74GS2062, GS, 26-Mar-2024, 102.59, 102.55, 107.00, 102.55, 107.00, 107.00, 105.51, 4, 0.00, 4, 2, 50.00
754GS2036, GS, 26-Mar-2024, 105.74, 105.74, 105.80, 105.56, 105.79, 105.79, 105.75, 424366, 448.77, 131, 409365, 96.47
772GS2049, GS, 26-Mar-2024, 105.90, 105.90, 105.90, 105.90, 105.90, 105.90, 105.90, 100, 0.11, 1, 100, 100.00
824GS2027, GS, 26-Mar-2024, 103.50, 102.70, 104.00, 102.70, 104.00, 104.00, 102.71, 904, 0.93, 37, 904, 100.00
828GS2027, GS, 26-Mar-2024, 104.00, 103.99, 103.99, 103.50, 103.99, 103.99, 103.85, 10113, 10.50, 14, 10113, 100.00
82GS2025, GS, 26-Mar-2024, 103.50, 103.00, 103.00, 101.20, 101.33, 101.33, 101.42, 11, 0.01, 3, 6, 54.55
833GS2026, GS, 26-Mar-2024, 103.00, 103.26, 103.26, 103.26, 103.26, 103.26, 103.26, 2, 0.00, 1, 2, 100.00
897GS2030, GS, 26-Mar-2024, 112.46, 113.00, 113.00, 113.00, 113.00, 113.00, 113.00, 20, 0.02, 1, 20, 100.00
92GS2030, GS, 26-Mar-2024, 116.00, 117.25, 117.25, 116.00, 117.25, 117.25, 117.14, 2540, 2.98, 5, 2540, 100.00
A2ZINFRA, BE, 26-Mar-2024, 12.75, 13.00, 13.00, 13.00, 13.00, 13.00, 13.00, 289769, 37.67, 96, -, -
AAATECH, BE, 26-Mar-2024, 88.20, 88.20, 89.85, 84.25, 85.90, 85.05, 85.75, 12537, 10.75, 172, -, -
AAKASH, BE, 26-Mar-2024, 9.90, 10.35, 10.35, 9.90, 9.95, 9.95, 10.08, 381730, 38.46, 1039, -, -
AAREYDRUGS, BE, 26-Mar-2024, 46.75, 46.75, 46.75, 45.00, 45.00, 45.10, 45.73, 18299, 8.37, 133, -, -
AARON, EQ, 26-Mar-2024, 261.90, 257.00, 263.90, 249.05, 251.00, 254.15, 255.91, 9876, 25.27, 610, 6411, 64.91
AARTECH, EQ, 26-Mar-2024, 151.15, 152.90, 158.70, 151.00, 155.00, 158.05, 155.98, 29086, 45.37, 592, 13609, 46.79
AARTIDRUGS, EQ, 26-Mar-2024, 455.60, 455.60, 456.85, 440.60, 442.00, 443.20, 448.74, 231130, 1037.16, 12946, 132896, 57.50
AARTIIND, EQ, 26-Mar-2024, 655.30, 645.00, 661.95, 645.00, 656.30, 656.50, 656.17, 627104, 4114.85, 25503, 242919, 38.74
AARTIPHARM, EQ, 26-Mar-2024, 460.55, 452.80, 462.90, 443.00, 447.20, 445.10, 449.59, 163553, 735.32, 7944, 110021, 67.27
AARTISURF, EQ, 26-Mar-2024, 584.95, 584.95, 585.00, 556.15, 560.00, 562.20, 569.05, 50523, 287.50, 2933, 38257, 75.72
AARTISURF, P1, 26-Mar-2024, 260.00, 264.00, 264.00, 214.00, 214.00, 214.00, 239.00, 20, 0.05, 2, 0, 0.00
AARVEEDEN, EQ, 26-Mar-2024, 25.45, 25.80, 25.80, 24.25, 24.25, 24.55, 24.79, 30024, 7.44, 292, 23402, 77.94
AARVI, EQ, 26-Mar-2024, 125.55, 125.00, 125.00, 121.40, 123.00, 122.65, 122.59, 27264, 33.42, 615, 18752, 68.78
AATMAJ, SM, 26-Mar-2024, 35.80, 35.50, 35.50, 33.30, 34.00, 33.95, 34.17, 182000, 62.20, 75, 148000, 81.32
AAVAS, EQ, 26-Mar-2024, 1356.10, 1341.10, 1350.45, 1319.00, 1325.10, 1325.15, 1328.76, 341297, 4535.02, 30293, 234699, 68.77
ABAN, BE, 26-Mar-2024, 52.65, 52.90, 53.50, 51.05, 51.10, 51.30, 51.75, 198134, 102.54, 1028, -, -
ABB, EQ, 26-Mar-2024, 5967.40, 5881.00, 5986.60, 5875.30, 5939.00, 5929.80, 5928.75, 383434, 22732.83, 53298, 187490, 48.90
ABBOTINDIA, EQ, 26-Mar-2024, 27067.10, 27199.00, 27199.00, 26550.65, 26900.00, 26701.05, 26784.41, 14019, 3754.91, 5644, 6211, 44.30
ABCAPITAL, EQ, 26-Mar-2024, 175.05, 175.60, 178.90, 174.55, 177.20, 177.10, 177.01, 5356729, 9482.03, 25874, 3268058, 61.01
ABFRL, EQ, 26-Mar-2024, 205.35, 206.50, 209.35, 204.35, 207.10, 207.00, 206.99, 2983020, 6174.55, 21484, 1475627, 49.47
ABINFRA, SM, 26-Mar-2024, 58.60, 61.45, 61.45, 61.45, 61.45, 61.45, 61.45, 4000, 2.46, 1, 4000, 100.00
ABMINTLLTD, EQ, 26-Mar-2024, 63.85, 67.00, 67.00, 64.10, 65.00, 65.75, 66.42, 9997, 6.64, 167, 7653, 76.55
ABSLAMC, EQ, 26-Mar-2024, 455.80, 456.00, 456.75, 452.35, 455.25, 455.45, 455.12, 141231, 642.77, 9423, 115429, 81.73
ABSLBANETF, EQ, 26-Mar-2024, 47.19, 48.60, 48.60, 46.72, 47.08, 47.03, 46.92, 726162, 340.74, 459, 717273, 98.78
ABSLLIQUID, EQ, 26-Mar-2024, 1000.00, 1000.00, 1000.01, 999.99, 999.99, 1000.00, 1000.01, 15551, 155.51, 71, 12465, 80.16
ABSLNN50ET, EQ, 26-Mar-2024, 61.19, 61.68, 61.92, 60.97, 61.90, 61.84, 61.44, 5103, 3.14, 188, 4192, 82.15
ACC, EQ, 26-Mar-2024, 2443.25, 2430.00, 2477.20, 2429.60, 2454.80, 2450.00, 2453.43, 186745, 4581.65, 19014, 78268, 41.91
ACCELYA, EQ, 26-Mar-2024, 1732.35, 1702.00, 1798.00, 1667.00, 1670.40, 1675.85, 1697.77, 24147, 409.96, 3472, 12984, 53.77
ACCENTMIC, SM, 26-Mar-2024, 252.80, 253.00, 253.00, 240.35, 242.00, 243.00, 245.98, 169000, 415.71, 123, 151000, 89.35
ACCURACY, BE, 26-Mar-2024, 10.75, 11.25, 11.25, 10.25, 10.30, 10.30, 10.72, 1384294, 148.38, 2745, -, -
ACE, EQ, 26-Mar-2024, 1393.20, 1380.00, 1415.85, 1345.00, 1395.50, 1392.40, 1382.41, 522256, 7219.74, 41593, 120511, 23.08
ACEINTEG, EQ, 26-Mar-2024, 34.70, 35.40, 35.40, 33.00, 33.00, 33.00, 33.29, 6167, 2.05, 86, 3979, 64.52
ACI, EQ, 26-Mar-2024, 638.75, 635.75, 645.00, 628.65, 636.00, 636.35, 637.81, 305970, 1951.52, 15951, 108675, 35.52
ACL, EQ, 26-Mar-2024, 84.45, 85.60, 85.80, 80.70, 82.40, 82.50, 83.38, 147530, 123.01, 1753, 118357, 80.23
ACLGATI, EQ, 26-Mar-2024, 101.40, 101.30, 101.85, 99.60, 99.75, 99.65, 100.19, 441454, 442.29, 5163, 296156, 67.09
ACSAL, SM, 26-Mar-2024, 48.15, 47.00, 47.00, 45.60, 45.60, 45.80, 46.53, 63000, 29.31, 10, 54000, 85.71
ADANIENSOL, EQ, 26-Mar-2024, 1015.60, 1003.00, 1064.50, 1002.60, 1046.00, 1045.90, 1047.39, 4087621, 42813.36, 94341, 1907730, 46.67
ADANIENT, EQ, 26-Mar-2024, 3107.70, 3100.50, 3171.95, 3089.10, 3112.00, 3109.95, 3130.27, 937103, 29333.89, 66405, 258886, 27.63
ADANIGREEN, EQ, 26-Mar-2024, 1851.75, 1840.00, 1938.70, 1840.00, 1853.95, 1859.00, 1884.30, 955701, 18008.23, 59124, 473942, 49.59
ADANIPORTS, EQ, 26-Mar-2024, 1281.60, 1281.60, 1314.00, 1281.00, 1305.00, 1304.20, 1302.19, 3610644, 47017.45, 122616, 1352704, 37.46
