SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 05-Jun-2025, 217.56, 219.40, 233.65, 219.40, 229.50, 229.31, 228.80, 426424, 975.67, 9404, 154205, 36.16
21STCENMGM, EQ, 05-Jun-2025, 66.89, 67.01, 68.20, 65.55, 67.70, 66.06, 66.32, 5481, 3.64, 253, 4997, 91.17
360ONE, EQ, 05-Jun-2025, 1024.25, 1027.00, 1089.45, 1009.05, 1079.90, 1074.00, 1059.81, 1555439, 16484.71, 70484, 800263, 51.45
3IINFOLTD, EQ, 05-Jun-2025, 24.79, 24.76, 25.44, 24.43, 24.58, 24.51, 24.83, 418113, 103.81, 2216, 225632, 53.96
3MINDIA, EQ, 05-Jun-2025, 29695.00, 29695.00, 29855.00, 29555.00, 29625.00, 29630.00, 29686.64, 1374, 407.89, 791, 583, 42.43
3PLAND, EQ, 05-Jun-2025, 51.20, 52.00, 55.00, 51.98, 53.60, 54.40, 53.77, 46142, 24.81, 959, 29612, 64.18
563GS2026, GS, 05-Jun-2025, 100.60, 100.65, 100.65, 100.65, 100.65, 100.65, 100.65, 10, 0.01, 1, 10, 100.00
574GS2026, GS, 05-Jun-2025, 101.00, 100.45, 100.45, 100.45, 100.45, 100.45, 100.45, 4, 0.00, 1, 4, 100.00
5PAISA, EQ, 05-Jun-2025, 404.70, 406.70, 412.20, 400.10, 404.00, 404.75, 406.04, 23713, 96.28, 2964, 12236, 51.60
610GS2031, GS, 05-Jun-2025, 100.00, 98.30, 98.30, 98.30, 98.30, 98.30, 98.30, 299, 0.29, 1, 299, 100.00
619GS2034, GS, 05-Jun-2025, 102.45, 97.32, 97.32, 97.32, 97.32, 97.32, 97.32, 647, 0.63, 1, 647, 100.00
