SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 03-Mar-2021, 36.95, 37.40, 39.20, 36.95, 38.20, 38.15, 38.16, 216918, 82.78, 1427, 117594, 54.21
21STCENMGM, EQ, 03-Mar-2021, 11.85, 11.95, 11.95, 11.85, 11.90, 11.90, 11.91, 2189, 0.26, 21, 2189, 100.00
3IINFOTECH, EQ, 03-Mar-2021, 6.75, 7.05, 7.05, 6.85, 7.05, 7.05, 7.02, 8877209, 623.09, 12751, 6148246, 69.26
3MINDIA, EQ, 03-Mar-2021, 25068.65, 25150.00, 26000.00, 24900.00, 26000.00, 25962.20, 25735.52, 10555, 2716.38, 4113, 4724, 44.76
3PLAND, EQ, 03-Mar-2021, 9.55, 9.85, 9.85, 9.25, 9.25, 9.30, 9.36, 13273, 1.24, 66, 10849, 81.74
5PAISA, EQ, 03-Mar-2021, 267.65, 271.00, 271.00, 263.50, 268.00, 268.25, 268.50, 38408, 103.13, 7666, 14233, 37.06
601GS2028, GS, 03-Mar-2021, 67.14, 70.00, 70.00, 70.00, 70.00, 70.00, 70.00, 1, 0.00, 1, 1, 100.00
619GS2034, GS, 03-Mar-2021, 99.50, 94.58, 94.58, 94.58, 94.58, 94.58, 94.58, 5, 0.00, 1, 5, 100.00
63MOONS, EQ, 03-Mar-2021, 80.15, 81.90, 82.00, 80.15, 80.50, 80.70, 81.05, 48066, 38.96, 1237, 29793, 61.98
772GS2049, GS, 03-Mar-2021, 119.86, 119.85, 119.85, 119.85, 119.85, 119.85, 119.85, 21, 0.03, 4, 21, 100.00
772GS2055, GS, 03-Mar-2021, 108.00, 108.00, 108.00, 108.00, 108.00, 108.00, 108.00, 500, 0.54, 1, 500, 100.00
A2ZINFRA, EQ, 03-Mar-2021, 4.15, 4.25, 4.40, 4.15, 4.25, 4.30, 4.25, 715000, 30.37, 415, 526440, 73.63
AAATECH, SM, 03-Mar-2021, 42.05, 42.05, 42.05, 42.00, 42.00, 42.00, 42.03, 6000, 2.52, 2, 6000, 100.00
AAKASH, BE, 03-Mar-2021, 127.90, 127.00, 127.90, 125.60, 127.90, 127.50, 126.75, 9341, 11.84, 120, -, -
AARON, EQ, 03-Mar-2021, 58.95, 57.15, 62.60, 55.25, 58.65, 58.65, 58.74, 8096, 4.76, 179, 4934, 60.94
AARTIDRUGS, EQ, 03-Mar-2021, 645.80, 652.50, 695.00, 651.00, 688.00, 684.90, 678.41, 1376756, 9340.00, 50864, 460879, 33.48
AARTIIND, EQ, 03-Mar-2021, 1293.05, 1305.00, 1310.40, 1295.10, 1300.00, 1300.75, 1300.69, 283821, 3691.63, 10713, 145494, 51.26
AARTISURF, EQ, 03-Mar-2021, 924.70, 935.90, 970.90, 925.65, 970.90, 970.90, 964.88, 21871, 211.03, 905, 20177, 92.25
AARVEEDEN, EQ, 03-Mar-2021, 18.15, 18.60, 18.60, 18.10, 18.20, 18.30, 18.31, 7805, 1.43, 62, 5487, 70.30
AARVI, EQ, 03-Mar-2021, 52.60, 52.30, 52.80, 52.00, 52.80, 52.10, 52.19, 13872, 7.24, 115, 12131, 87.45
AAVAS, EQ, 03-Mar-2021, 2258.80, 2274.50, 2424.90, 2262.05, 2275.00, 2279.05, 2324.22, 149912, 3484.28, 16600, 64121, 42.77
ABAN, EQ, 03-Mar-2021, 36.50, 36.40, 38.30, 36.15, 38.30, 38.30, 38.02, 373661, 142.08, 1454, 221203, 59.20
ABB, EQ, 03-Mar-2021, 1521.00, 1532.85, 1550.40, 1510.00, 1532.95, 1532.70, 1531.02, 154956, 2372.40, 9080, 54495, 35.17
ABBOTINDIA, EQ, 03-Mar-2021, 14531.60, 14630.00, 14844.00, 14537.65, 14645.00, 14613.90, 14696.02, 12011, 1765.14, 4431, 6461, 53.79
ABCAPITAL, EQ, 03-Mar-2021, 126.75, 127.40, 130.90, 125.25, 129.20, 129.65, 129.25, 3813453, 4928.89, 35182, 1892757, 49.63
ABFRL, EQ, 03-Mar-2021, 206.15, 209.80, 216.90, 207.35, 209.00, 209.00, 212.10, 6527775, 13845.47, 69433, 2512239, 38.49
ABFRLPP1, E1, 03-Mar-2021, 165.60, 169.95, 179.15, 165.60, 173.25, 174.30, 175.74, 112342, 197.43, 2109, 80974, 72.08
ABMINTLTD, EQ, 03-Mar-2021, 76.35, 80.15, 80.15, 72.55, 80.15, 80.10, 78.23, 17348, 13.57, 197, 8411, 48.48
ABSLBANETF, EQ, 03-Mar-2021, 351.00, 353.50, 362.92, 350.01, 362.92, 362.68, 357.00, 580, 2.07, 23, 313, 53.97
ABSLNN50ET, EQ, 03-Mar-2021, 354.26, 362.00, 397.90, 338.13, 355.00, 354.69, 357.80, 718, 2.57, 140, 160, 22.28
ABSLRIF6RG, MF, 03-Mar-2021, 8.50, 8.50, 8.50, 8.45, 8.50, 8.48, 8.48, 11169, 0.95, 8, 11169, 100.00
ACC, EQ, 03-Mar-2021, 1771.80, 1784.00, 1817.75, 1773.20, 1794.25, 1796.40, 1793.71, 841356, 15091.49, 33863, 212289, 25.23
ACCELYA, EQ, 03-Mar-2021, 897.35, 901.85, 920.00, 901.85, 905.20, 906.60, 908.26, 2345, 21.30, 501, 1165, 49.68
ACCORD, SM, 03-Mar-2021, 23.00, 21.85, 21.85, 21.85, 21.85, 21.85, 21.85, 2000, 0.44, 1, 2000, 100.00
ACCURACY, EQ, 03-Mar-2021, 63.90, 66.45, 66.45, 62.00, 62.95, 62.55, 63.09, 5944, 3.75, 92, 3292, 55.38
ACE, EQ, 03-Mar-2021, 155.80, 156.30, 158.40, 154.50, 155.00, 155.05, 156.26, 145682, 227.65, 2533, 75557, 51.86
ACRYSIL, EQ, 03-Mar-2021, 338.55, 349.95, 350.00, 324.95, 331.95, 330.95, 335.38, 173820, 582.95, 5632, 93698, 53.91
ADANIENT, EQ, 03-Mar-2021, 872.55, 880.45, 944.90, 872.85, 916.00, 915.35, 910.94, 11670544, 106311.13, 162581, 1013517, 8.68
ADANIGREEN, EQ, 03-Mar-2021, 1164.85, 1178.90, 1190.00, 1162.05, 1171.00, 1176.30, 1175.76, 494659, 5816.03, 23170, 274694, 55.53
ADANIPORTS, EQ, 03-Mar-2021, 720.50, 732.00, 754.95, 723.40, 733.25, 729.85, 739.56, 19961472, 147626.54, 285506, 4189813, 20.99
ADANIPOWER, EQ, 03-Mar-2021, 61.30, 64.00, 66.65, 63.25, 64.85, 64.90, 65.21, 37166788, 24236.74, 118937, 18159383, 48.86
ADANITRANS, EQ, 03-Mar-2021, 781.05, 788.85, 852.55, 782.25, 829.00, 828.00, 830.53, 1454549, 12080.44, 64103, 548219, 37.69
ADFFOODS, EQ, 03-Mar-2021, 874.80, 885.80, 894.70, 875.00, 875.00, 879.80, 885.25, 36338, 321.68, 4224, 17547, 48.29
ADHUNIKIND, EQ, 03-Mar-2021, 20.95, 21.40, 21.70, 20.85, 21.45, 21.30, 21.24, 18797, 3.99, 164, 10906, 58.02
ADL, BE, 03-Mar-2021, 31.55, 31.55, 32.95, 30.00, 32.00, 31.20, 31.20, 5332, 1.66, 46, -, -
ADORWELD, EQ, 03-Mar-2021, 317.10, 317.10, 324.95, 312.30, 314.90, 314.40, 317.36, 41048, 130.27, 1706, 22883, 55.75
ADROITINFO, EQ, 03-Mar-2021, 9.10, 9.55, 9.55, 9.10, 9.55, 9.55, 9.52, 1725, 0.16, 14, 1725, 100.00
ADSL, EQ, 03-Mar-2021, 41.10, 41.40, 41.75, 40.60, 41.00, 40.90, 41.03, 77199, 31.67, 696, 55382, 71.74
ADVANIHOTR, EQ, 03-Mar-2021, 52.10, 52.05, 53.45, 52.05, 53.10, 53.00, 52.86, 9152, 4.84, 148, 7563, 82.64
ADVENZYMES, EQ, 03-Mar-2021, 354.05, 355.95, 368.95, 354.55, 361.50, 361.90, 362.50, 300865, 1090.63, 12383, 111349, 37.01
