SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 15-Apr-2021, 36.65, 36.80, 37.05, 35.95, 36.00, 36.05, 36.44, 34375, 12.53, 412, 15910, 46.28
21STCENMGM, EQ, 15-Apr-2021, 12.45, 12.45, 12.45, 12.45, 12.45, 12.45, 12.45, 1049, 0.13, 12, 949, 90.47
3IINFOTECH, EQ, 15-Apr-2021, 7.40, 7.30, 7.55, 7.05, 7.10, 7.05, 7.17, 17175200, 1231.97, 11018, 8575475, 49.93
3MINDIA, EQ, 15-Apr-2021, 26179.90, 26499.00, 26499.00, 25315.00, 25550.80, 25532.50, 25690.66, 4198, 1078.49, 2544, 1825, 43.47
3PLAND, EQ, 15-Apr-2021, 9.70, 9.60, 10.00, 9.20, 9.80, 9.80, 9.72, 20266, 1.97, 125, 12133, 59.87
5PAISA, EQ, 15-Apr-2021, 292.00, 350.40, 350.40, 339.85, 350.40, 350.40, 350.07, 233162, 816.22, 1636, 130939, 56.16
63MOONS, EQ, 15-Apr-2021, 81.10, 82.95, 97.30, 80.30, 96.40, 96.00, 94.08, 1926800, 1812.64, 20591, 449771, 23.34
772GS2025, GS, 15-Apr-2021, 96.93, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 400, 0.40, 1, 400, 100.00
813GS2045, GS, 15-Apr-2021, 116.40, 116.40, 116.40, 116.40, 116.40, 116.40, 116.40, 753, 0.88, 4, 753, 100.00
A2ZINFRA, EQ, 15-Apr-2021, 3.80, 3.80, 3.85, 3.70, 3.75, 3.75, 3.75, 666938, 25.00, 562, 525243, 78.75
AAATECH, SM, 15-Apr-2021, 42.25, 42.25, 42.25, 42.25, 42.25, 42.25, 42.25, 3000, 1.27, 1, 3000, 100.00
AAKASH, BE, 15-Apr-2021, 133.70, 134.50, 134.50, 132.00, 134.00, 134.00, 132.87, 8706, 11.57, 62, -, -
AARON, EQ, 15-Apr-2021, 54.85, 53.25, 57.10, 53.25, 56.45, 56.30, 56.53, 229, 0.13, 29, 149, 65.07
AARTIDRUGS, EQ, 15-Apr-2021, 715.55, 714.10, 714.10, 700.05, 703.20, 703.85, 705.38, 316853, 2235.00, 15864, 100644, 31.76
AARTIIND, EQ, 15-Apr-2021, 1370.30, 1380.00, 1388.55, 1340.30, 1365.10, 1369.00, 1362.82, 166764, 2272.70, 10318, 55993, 33.58
AARTISURF, EQ, 15-Apr-2021, 1538.60, 1565.00, 1675.00, 1531.00, 1649.95, 1641.75, 1615.70, 118995, 1922.61, 9583, 48010, 40.35
AARVEEDEN, EQ, 15-Apr-2021, 22.50, 22.05, 24.75, 20.60, 22.45, 22.80, 23.27, 57193, 13.31, 649, 29806, 52.11
AARVI, EQ, 15-Apr-2021, 46.00, 47.35, 47.35, 41.95, 42.50, 43.15, 44.09, 12571, 5.54, 178, 9935, 79.03
AAVAS, EQ, 15-Apr-2021, 2295.40, 2270.50, 2363.35, 2265.00, 2328.00, 2327.60, 2345.47, 128096, 3004.45, 7283, 100351, 78.34
ABAN, EQ, 15-Apr-2021, 30.10, 31.60, 31.60, 29.65, 29.70, 29.90, 30.63, 129590, 39.69, 1010, 58216, 44.92
ABB, EQ, 15-Apr-2021, 1319.60, 1316.50, 1363.95, 1309.05, 1345.90, 1349.45, 1345.22, 426291, 5734.54, 15959, 285882, 67.06
ABBOTINDIA, EQ, 15-Apr-2021, 14959.90, 15000.00, 15082.15, 14855.00, 14988.85, 14919.75, 14961.47, 6685, 1000.17, 2361, 3913, 58.53
ABCAPITAL, EQ, 15-Apr-2021, 116.10, 121.00, 123.40, 117.35, 119.05, 119.65, 120.10, 7443237, 8939.40, 59539, 1444823, 19.41
ABFRL, EQ, 15-Apr-2021, 176.50, 175.00, 175.25, 169.25, 171.00, 171.60, 171.34, 1325248, 2270.73, 21980, 587480, 44.33
ABFRLPP1, E1, 15-Apr-2021, 142.75, 149.50, 152.35, 137.00, 141.45, 138.50, 138.86, 12429, 17.26, 812, 9479, 76.27
ABMINTLTD, EQ, 15-Apr-2021, 50.30, 47.80, 48.95, 47.80, 48.50, 48.70, 47.81, 723, 0.35, 12, 708, 97.93
ABSLBANETF, EQ, 15-Apr-2021, 316.74, 316.00, 350.00, 311.90, 315.16, 315.16, 325.00, 3387, 11.01, 89, 257, 7.59
ABSLNN50ET, EQ, 15-Apr-2021, 346.47, 356.86, 356.86, 340.00, 342.75, 342.75, 343.35, 279, 0.96, 32, 130, 46.59
ABSLRIF6RG, MF, 15-Apr-2021, 8.19, 7.85, 8.60, 7.85, 8.60, 8.60, 7.96, 7, 0.00, 2, 6, 85.71
ACC, EQ, 15-Apr-2021, 1882.15, 1890.00, 1896.20, 1812.00, 1839.90, 1836.65, 1834.95, 706453, 12963.03, 33741, 126937, 17.97
ACCELYA, EQ, 15-Apr-2021, 876.75, 865.00, 875.80, 858.00, 864.90, 864.40, 863.89, 1350, 11.66, 243, 902, 66.81
ACCURACY, EQ, 15-Apr-2021, 53.50, 55.00, 58.85, 53.00, 58.85, 58.60, 56.44, 71802, 40.53, 230, 39246, 54.66
ACE, EQ, 15-Apr-2021, 152.85, 152.70, 154.05, 148.35, 152.55, 152.45, 151.50, 150168, 227.50, 2430, 74540, 49.64
ACRYSIL, EQ, 15-Apr-2021, 338.60, 336.00, 347.40, 321.20, 331.00, 331.95, 332.83, 115605, 384.77, 3787, 59019, 51.05
ADANIENT, EQ, 15-Apr-2021, 1106.35, 1095.00, 1144.90, 1081.35, 1124.00, 1129.95, 1118.21, 9350889, 104562.50, 187596, 719972, 7.70
ADANIGREEN, EQ, 15-Apr-2021, 1116.05, 1115.95, 1144.00, 1085.40, 1119.00, 1122.70, 1113.80, 786223, 8756.94, 46327, 311935, 39.68
ADANIPORTS, EQ, 15-Apr-2021, 731.05, 735.90, 754.50, 725.00, 747.00, 750.35, 740.39, 26108614, 193306.54, 335056, 1749254, 6.70
ADANIPOWER, EQ, 15-Apr-2021, 90.60, 88.55, 92.40, 88.50, 90.40, 90.75, 90.55, 21099016, 19104.89, 85313, 5546755, 26.29
ADANITRANS, EQ, 15-Apr-2021, 899.25, 889.90, 944.20, 860.10, 944.20, 944.15, 941.04, 1477107, 13900.23, 23491, 590417, 39.97
ADFFOODS, EQ, 15-Apr-2021, 900.70, 895.70, 915.00, 871.75, 910.20, 909.50, 895.15, 22195, 198.68, 2480, 8106, 36.52
ADHUNIKIND, EQ, 15-Apr-2021, 23.45, 23.25, 23.25, 22.30, 22.85, 22.80, 22.83, 55688, 12.71, 422, 34183, 61.38
ADL, BE, 15-Apr-2021, 29.40, 28.05, 30.85, 28.00, 30.60, 30.60, 30.32, 7208, 2.19, 35, -, -
ADORWELD, EQ, 15-Apr-2021, 319.70, 325.00, 325.00, 309.55, 311.00, 312.65, 313.73, 10095, 31.67, 611, 6893, 68.28
ADROITINFO, BE, 15-Apr-2021, 8.05, 8.05, 8.05, 8.00, 8.00, 8.00, 8.05, 10454, 0.84, 9, -, -
ADSL, EQ, 15-Apr-2021, 48.60, 47.60, 51.85, 45.95, 48.55, 48.95, 48.10, 265541, 127.72, 1853, 95426, 35.94
ADVANIHOTR, EQ, 15-Apr-2021, 53.90, 52.85, 54.80, 52.45, 52.90, 53.05, 53.86, 18367, 9.89, 123, 8747, 47.62
ADVENZYMES, EQ, 15-Apr-2021, 359.35, 358.00, 362.00, 351.20, 354.00, 357.00, 355.87, 109496, 389.67, 3744, 30157, 27.54
AEGISCHEM, EQ, 15-Apr-2021, 286.35, 288.00, 289.80, 282.90, 286.65, 286.00, 285.67, 140674, 401.86, 7636, 85890, 61.06
AFFLE, EQ, 15-Apr-2021, 5450.10, 5480.00, 5498.85, 5320.10, 5396.00, 5400.30, 5384.53, 31824, 1713.57, 8494, 11482, 36.08
AFLPP, E1, 15-Apr-2021, 68.30, 68.00, 68.00, 65.10, 67.10, 67.15, 66.37, 10177, 6.75, 150, 9338, 91.76
AGARIND, BE, 15-Apr-2021, 158.10, 159.00, 161.80, 155.20, 156.00, 156.00, 158.18, 11969, 18.93, 100, -, -
AGCNET, EQ, 15-Apr-2021, 1399.20, 1362.00, 1469.15, 1362.00, 1469.15, 1469.15, 1435.14, 7881, 113.10, 448, 6327, 80.28
AGRITECH, EQ, 15-Apr-2021, 38.65, 38.75, 42.45, 38.75, 40.70, 40.85, 40.68, 124055, 50.47, 1128, 53281, 42.95
AGROPHOS, EQ, 15-Apr-2021, 11.65, 11.75, 11.75, 11.20, 11.45, 11.40, 11.34, 13211, 1.50, 129, 9343, 70.72
AHLADA, EQ, 15-Apr-2021, 101.00, 101.85, 101.85, 93.60, 97.70, 97.45, 96.60, 3666, 3.54, 133, 2331, 63.58
AHLEAST, EQ, 15-Apr-2021, 157.15, 157.35, 159.15, 156.15, 156.15, 156.15, 156.80, 853, 1.34, 47, 712, 83.47
AHLUCONT, EQ, 15-Apr-2021, 294.95, 295.00, 295.00, 287.95, 292.15, 291.05, 290.10, 51646, 149.82, 652, 49283, 95.42
AHLWEST, EQ, 15-Apr-2021, 208.40, 205.80, 213.05, 205.00, 210.00, 208.65, 207.94, 1007, 2.09, 359, 286, 28.40
AIAENG, EQ, 15-Apr-2021, 1889.60, 1885.80, 1885.80, 1850.00, 1859.00, 1856.80, 1860.32, 15553, 289.33, 3530, 7491, 48.16
AIRAN, EQ, 15-Apr-2021, 15.95, 15.70, 16.80, 15.70, 16.45, 16.65, 16.33, 39413, 6.44, 232, 28603, 72.57
AIROLAM, SM, 15-Apr-2021, 22.70, 25.00, 25.00, 25.00, 25.00, 25.00, 25.00, 6000, 1.50, 2, 6000, 100.00
AISL, SM, 15-Apr-2021, 39.85, 40.85, 40.85, 38.10, 38.90, 38.90, 39.37, 30000, 11.81, 25, 8400, 28.00
AJANTPHARM, EQ, 15-Apr-2021, 1725.45, 1730.00, 1745.00, 1692.55, 1696.00, 1709.60, 1723.84, 114183, 1968.33, 18141, 65059, 56.98
AJMERA, EQ, 15-Apr-2021, 112.90, 112.80, 112.95, 106.35, 108.30, 108.75, 108.26, 83825, 90.75, 1766, 42707, 50.95
