SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 18-Jan-2021, 38.55, 39.40, 39.65, 36.60, 36.80, 36.90, 37.50, 239897, 89.96, 1437, 155271, 64.72
21STCENMGM, EQ, 18-Jan-2021, 10.95, 10.95, 11.15, 10.75, 10.85, 10.85, 10.98, 7201, 0.79, 79, 6299, 87.47
3IINFOTECH, EQ, 18-Jan-2021, 8.40, 8.60, 8.80, 8.10, 8.40, 8.40, 8.56, 56018736, 4797.55, 32206, 17009892, 30.36
3MINDIA, EQ, 18-Jan-2021, 20766.85, 20874.00, 21399.90, 20501.15, 21300.30, 21238.70, 20821.91, 4922, 1024.85, 2570, 2977, 60.48
3PLAND, EQ, 18-Jan-2021, 10.60, 10.80, 10.95, 10.10, 10.10, 10.20, 10.16, 7379, 0.75, 54, 7209, 97.70
522GS2025, GS, 18-Jan-2021, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 1, 0.00, 1, 1, 100.00
5PAISA, EQ, 18-Jan-2021, 308.05, 309.00, 309.00, 287.15, 287.50, 288.70, 291.82, 115872, 338.14, 3226, 65631, 56.64
63MOONS, BE, 18-Jan-2021, 79.45, 78.60, 82.00, 78.50, 81.00, 80.60, 80.67, 104155, 84.02, 523, -, -
667GS2050, GS, 18-Jan-2021, 105.00, 106.00, 106.00, 106.00, 106.00, 106.00, 106.00, 2, 0.00, 1, 2, 100.00
726GS2029, GS, 18-Jan-2021, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 101.00, 100, 0.10, 1, 100, 100.00
762GS2039, GS, 18-Jan-2021, 105.00, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 1000, 1.10, 1, 1000, 100.00
8KMILES, BE, 18-Jan-2021, 81.35, 81.80, 82.20, 78.50, 81.00, 81.50, 80.37, 35265, 28.34, 371, -, -
A2ZINFRA, EQ, 18-Jan-2021, 5.00, 4.95, 5.15, 4.80, 5.05, 5.00, 4.90, 767854, 37.62, 562, 632344, 82.35
AAATECH, SM, 18-Jan-2021, 42.25, 42.25, 42.25, 42.25, 42.25, 42.25, 42.25, 9000, 3.80, 3, 6000, 66.67
AAKASH, EQ, 18-Jan-2021, 85.35, 87.50, 90.00, 84.40, 90.00, 87.10, 86.46, 49897, 43.14, 627, 17365, 34.80
AARON, EQ, 18-Jan-2021, 51.40, 53.50, 53.50, 50.10, 51.50, 51.40, 51.31, 2152, 1.10, 67, 1445, 67.15
AARTIDRUGS, EQ, 18-Jan-2021, 707.20, 709.50, 711.80, 695.00, 696.55, 697.40, 699.19, 226229, 1581.77, 11321, 96528, 42.67
AARTIIND, EQ, 18-Jan-2021, 1256.50, 1257.00, 1258.95, 1212.00, 1228.95, 1226.25, 1224.24, 254770, 3118.99, 15034, 165124, 64.81
AARTISURF, EQ, 18-Jan-2021, 972.90, 972.90, 980.00, 930.10, 930.10, 943.30, 952.04, 11973, 113.99, 1650, 8502, 71.01
AARVEEDEN, BE, 18-Jan-2021, 19.55, 20.50, 20.50, 19.75, 20.50, 20.50, 20.42, 150637, 30.76, 292, -, -
AARVI, EQ, 18-Jan-2021, 46.85, 47.80, 47.90, 44.30, 45.30, 45.75, 46.21, 11440, 5.29, 182, 7852, 68.64
AAVAS, EQ, 18-Jan-2021, 1893.40, 1899.80, 1949.00, 1872.00, 1902.25, 1917.05, 1903.96, 50854, 968.24, 9838, 29407, 57.83
ABAN, BE, 18-Jan-2021, 29.75, 29.80, 30.10, 28.80, 28.85, 29.25, 29.20, 42522, 12.42, 380, -, -
ABB, EQ, 18-Jan-2021, 1284.65, 1291.00, 1349.40, 1286.70, 1343.00, 1344.50, 1324.39, 370993, 4913.39, 20730, 139011, 37.47
ABBOTINDIA, EQ, 18-Jan-2021, 14996.05, 15074.00, 15074.00, 14730.00, 14750.00, 14748.65, 14844.66, 23904, 3548.47, 9564, 15559, 65.09
