SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 12-Jan-2021, 39.85, 40.30, 41.90, 39.50, 40.00, 39.90, 40.43, 262240, 106.02, 1656, 163107, 62.20
21STCENMGM, EQ, 12-Jan-2021, 10.90, 10.90, 10.90, 10.75, 10.90, 10.80, 10.83, 1902, 0.21, 29, 1809, 95.11
3IINFOTECH, EQ, 12-Jan-2021, 8.90, 9.30, 9.30, 8.60, 8.70, 9.00, 9.17, 55506983, 5088.82, 31179, 25936167, 46.73
3MINDIA, EQ, 12-Jan-2021, 21727.25, 21727.00, 21778.15, 21502.00, 21600.00, 21588.40, 21648.36, 2681, 580.39, 1648, 1402, 52.29
3PLAND, EQ, 12-Jan-2021, 10.55, 10.15, 10.85, 10.15, 10.30, 10.30, 10.55, 2817, 0.30, 43, 1706, 60.56
5PAISA, EQ, 12-Jan-2021, 343.00, 354.40, 377.30, 351.00, 377.30, 377.30, 370.22, 227778, 843.27, 5317, 89822, 39.43
618GS2024, GS, 12-Jan-2021, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 9, 0.01, 1, 9, 100.00
63MOONS, BE, 12-Jan-2021, 80.30, 79.50, 81.00, 78.55, 78.55, 79.10, 79.80, 59594, 47.56, 512, -, -
757GS2033, GS, 12-Jan-2021, 110.50, 111.25, 111.25, 111.25, 111.25, 111.25, 111.25, 1369, 1.52, 1, 1369, 100.00
824GS2027, GS, 12-Jan-2021, 104.10, 109.00, 109.00, 109.00, 109.00, 109.00, 109.00, 200, 0.22, 1, 200, 100.00
8KMILES, BE, 12-Jan-2021, 82.35, 82.35, 85.00, 80.55, 83.05, 83.35, 82.94, 58976, 48.91, 505, -, -
A2ZINFRA, EQ, 12-Jan-2021, 5.55, 5.60, 6.05, 5.35, 5.50, 5.50, 5.79, 2597997, 150.44, 2139, 1670082, 64.28
AAKASH, EQ, 12-Jan-2021, 79.05, 79.25, 80.00, 77.50, 80.00, 79.85, 79.13, 43755, 34.63, 624, 15614, 35.69
AARON, EQ, 12-Jan-2021, 53.70, 53.70, 56.35, 51.10, 56.35, 55.10, 53.96, 10386, 5.60, 131, 6564, 63.20
AARTIDRUGS, EQ, 12-Jan-2021, 722.25, 722.00, 729.85, 715.55, 717.50, 717.20, 720.87, 335300, 2417.06, 15620, 151556, 45.20
AARTIIND, EQ, 12-Jan-2021, 1298.45, 1306.90, 1320.05, 1278.00, 1280.00, 1283.05, 1301.58, 440596, 5734.71, 20680, 156949, 35.62
AARTISURF, EQ, 12-Jan-2021, 995.30, 1030.00, 1030.00, 995.05, 1004.70, 1000.35, 1001.68, 9324, 93.40, 879, 6197, 66.46
AARVEEDEN, BE, 12-Jan-2021, 18.00, 18.00, 18.25, 17.40, 17.90, 18.10, 17.91, 9669, 1.73, 60, -, -
AARVI, EQ, 12-Jan-2021, 46.75, 46.75, 52.95, 46.30, 48.80, 48.95, 50.89, 125357, 63.80, 1163, 36563, 29.17
AAVAS, EQ, 12-Jan-2021, 1940.85, 1938.00, 1990.00, 1914.45, 1989.00, 1965.40, 1964.81, 433025, 8508.11, 7741, 412616, 95.29
ABAN, BE, 12-Jan-2021, 29.85, 30.10, 31.30, 28.85, 31.30, 31.30, 30.26, 108073, 32.70, 635, -, -
ABB, EQ, 12-Jan-2021, 1296.90, 1288.00, 1301.00, 1265.00, 1269.90, 1269.30, 1279.11, 162360, 2076.77, 9309, 114929, 70.79
ABBOTINDIA, EQ, 12-Jan-2021, 15483.15, 15566.85, 15566.85, 15383.00, 15400.00, 15405.40, 15441.35, 21062, 3252.26, 5340, 16624, 78.93
ABCAPITAL, EQ, 12-Jan-2021, 90.75, 90.70, 92.25, 87.30, 90.45, 90.45, 90.78, 2518994, 2286.72, 12429, 769828, 30.56
ABFRL, EQ, 12-Jan-2021, 168.75, 168.40, 175.90, 167.40, 174.80, 174.55, 173.82, 5215456, 9065.36, 52013, 2464159, 47.25
