SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 16-Jan-2020, 36.05, 35.30, 36.50, 34.50, 35.60, 35.55, 35.72, 28097, 10.04, 493, 16091, 57.27
21STCENMGM, EQ, 16-Jan-2020, 15.90, 15.60, 15.60, 15.60, 15.60, 15.60, 15.60, 1327, 0.21, 11, 1327, 100.00
3IINFOTECH, EQ, 16-Jan-2020, 2.45, 2.40, 2.45, 2.35, 2.40, 2.35, 2.39, 1206762, 28.79, 675, 895378, 74.20
3MINDIA, EQ, 16-Jan-2020, 22067.95, 22235.00, 22400.00, 22160.00, 22300.00, 22320.45, 22302.97, 941, 209.87, 436, 597, 63.44
3PLAND, EQ, 16-Jan-2020, 6.75, 6.75, 6.75, 6.65, 6.65, 6.65, 6.74, 92, 0.01, 5, 87, 94.57
5PAISA, EQ, 16-Jan-2020, 209.05, 206.00, 216.00, 198.00, 206.55, 206.75, 208.45, 24412, 50.89, 488, 13361, 54.73
63MOONS, EQ, 16-Jan-2020, 110.05, 111.00, 125.40, 110.50, 115.65, 116.00, 118.94, 1448299, 1722.67, 27602, 270390, 18.67
763GS2059, GS, 16-Jan-2020, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 100, 0.10, 1, 100, 100.00
A2ZINFRA, EQ, 16-Jan-2020, 7.75, 8.10, 8.30, 7.85, 8.00, 8.00, 8.10, 360621, 29.20, 521, 225720, 62.59
AARON, SM, 16-Jan-2020, 48.50, 47.90, 50.30, 47.90, 50.30, 50.30, 49.10, 6600, 3.24, 2, 3300, 50.00
AARTIDRUGS, EQ, 16-Jan-2020, 627.10, 629.00, 634.05, 611.00, 611.20, 616.15, 625.25, 18785, 117.45, 906, 7677, 40.87
AARTIIND, EQ, 16-Jan-2020, 851.70, 855.80, 862.70, 852.05, 857.00, 858.50, 858.74, 214478, 1841.82, 5790, 148693, 69.33
AARVEEDEN, EQ, 16-Jan-2020, 14.10, 14.30, 15.00, 14.05, 14.25, 14.20, 14.36, 7720, 1.11, 106, 6268, 81.19
AARVI, SM, 16-Jan-2020, 28.85, 29.90, 29.90, 27.45, 27.45, 28.25, 28.26, 10000, 2.83, 5, 10000, 100.00
AAVAS, EQ, 16-Jan-2020, 1993.95, 2009.00, 2009.30, 1965.50, 1970.00, 1987.35, 1997.18, 17092, 341.36, 1924, 11873, 69.47
ABAN, EQ, 16-Jan-2020, 26.80, 27.00, 28.00, 27.00, 27.60, 27.55, 27.41, 92701, 25.41, 855, 54588, 58.89
ABB, EQ, 16-Jan-2020, 1327.05, 1332.00, 1345.00, 1295.10, 1300.05, 1306.35, 1317.07, 68577, 903.20, 9011, 42670, 62.22
ABBOTINDIA, EQ, 16-Jan-2020, 12772.05, 12872.00, 12919.00, 12563.00, 12581.00, 12614.10, 12664.06, 9186, 1163.32, 3230, 5187, 56.47
ABCAPITAL, EQ, 16-Jan-2020, 110.85, 111.50, 111.90, 109.00, 109.65, 109.55, 110.27, 1475763, 1627.37, 18867, 699522, 47.40
ABFRL, EQ, 16-Jan-2020, 230.85, 231.05, 239.00, 231.05, 238.00, 237.80, 235.23, 464313, 1092.21, 11668, 273739, 58.96
ABSLBANETF, EQ, 16-Jan-2020, 315.51, 320.00, 320.00, 317.65, 317.65, 317.65, 318.83, 2, 0.01, 2, 0, 0.00
ABSLNN50ET, EQ, 16-Jan-2020, 290.78, 290.54, 290.94, 290.54, 290.94, 290.94, 290.68, 7, 0.02, 3, 7, 100.00
ABSLRIF6RG, MF, 16-Jan-2020, 7.35, 7.35, 7.35, 7.35, 7.35, 7.35, 7.35, 2000, 0.15, 1, 2000, 100.00
ACC, EQ, 16-Jan-2020, 1515.75, 1525.20, 1529.65, 1494.00, 1504.80, 1504.80, 1510.30, 650073, 9818.03, 17341, 130473, 20.07
ACCELYA, EQ, 16-Jan-2020, 1031.80, 1031.95, 1038.00, 1030.00, 1035.00, 1033.00, 1034.68, 1390, 14.38, 230, 1005, 72.30
ACCURACY, SM, 16-Jan-2020, 23.05, 22.90, 23.05, 22.10, 22.45, 22.45, 22.61, 9600, 2.17, 6, 3200, 33.33
ACE, EQ, 16-Jan-2020, 87.05, 87.70, 93.95, 85.75, 88.35, 88.65, 90.22, 969118, 874.37, 10339, 306750, 31.65
ADANIENT, EQ, 16-Jan-2020, 216.60, 217.70, 222.50, 217.00, 219.50, 220.00, 220.12, 4280379, 9421.80, 27655, 404320, 9.45
ADANIGAS, EQ, 16-Jan-2020, 174.90, 175.95, 178.40, 173.25, 174.00, 174.15, 175.69, 1539425, 2704.65, 13132, 498682, 32.39
ADANIGREEN, EQ, 16-Jan-2020, 189.15, 179.70, 179.70, 179.70, 179.70, 179.70, 179.70, 60474, 108.67, 2210, 60464, 99.98
ADANIPORTS, EQ, 16-Jan-2020, 390.80, 392.00, 394.60, 389.80, 391.00, 390.95, 392.07, 1340762, 5256.74, 16681, 294794, 21.99
ADANIPOWER, EQ, 16-Jan-2020, 63.30, 63.10, 65.25, 62.80, 64.60, 64.95, 64.24, 8761628, 5628.87, 17843, 1748706, 19.96
ADANITRANS, EQ, 16-Jan-2020, 334.05, 332.55, 343.00, 332.55, 339.90, 339.90, 339.93, 257554, 875.51, 7005, 128499, 49.89
ADFFOODS, EQ, 16-Jan-2020, 305.60, 306.85, 306.85, 298.20, 298.35, 299.85, 303.40, 27318, 82.88, 758, 21835, 79.93
ADHUNIKIND, EQ, 16-Jan-2020, 44.15, 45.15, 46.35, 43.90, 46.00, 45.95, 45.60, 12841, 5.86, 140, 7230, 56.30
ADLABS, BE, 16-Jan-2020, 4.00, 4.15, 4.15, 4.00, 4.10, 4.10, 4.04, 25964, 1.05, 71, -, -
ADORWELD, EQ, 16-Jan-2020, 331.50, 331.50, 349.00, 330.00, 346.15, 345.50, 341.98, 15963, 54.59, 735, 9883, 61.91
ADROITINFO, BE, 16-Jan-2020, 6.40, 6.20, 6.40, 6.20, 6.25, 6.25, 6.34, 705, 0.04, 6, -, -
ADSL, BE, 16-Jan-2020, 21.00, 21.00, 21.40, 20.45, 21.00, 20.60, 20.71, 15298, 3.17, 106, -, -
ADVANIHOTR, EQ, 16-Jan-2020, 54.00, 54.85, 54.90, 53.15, 53.90, 53.55, 54.04, 6185, 3.34, 162, 3290, 53.19
ADVENZYMES, EQ, 16-Jan-2020, 176.00, 177.70, 187.35, 175.30, 184.45, 185.25, 183.81, 444673, 817.36, 6994, 165141, 37.14
AEGISCHEM, EQ, 16-Jan-2020, 209.90, 209.90, 219.80, 207.35, 213.75, 214.10, 214.41, 438023, 939.15, 13274, 178996, 40.86
AFFLE, EQ, 16-Jan-2020, 1544.90, 1555.00, 1559.90, 1540.00, 1550.00, 1544.60, 1549.06, 24886, 385.50, 2808, 12379, 49.74
AGARIND, EQ, 16-Jan-2020, 103.00, 104.90, 105.40, 101.95, 104.00, 104.20, 103.64, 3164, 3.28, 141, 1682, 53.16
AGCNET, EQ, 16-Jan-2020, 183.45, 192.60, 192.60, 174.30, 192.60, 192.60, 190.16, 41676, 79.25, 862, 37161, 89.17
AGRITECH, EQ, 16-Jan-2020, 50.40, 50.15, 53.85, 50.10, 50.40, 51.25, 51.33, 19066, 9.79, 381, 10882, 57.08
AGROPHOS, EQ, 16-Jan-2020, 43.35, 41.20, 41.20, 41.20, 41.20, 41.20, 41.20, 3409, 1.40, 86, 3409, 100.00
AHLEAST, EQ, 16-Jan-2020, 177.40, 181.80, 183.00, 177.30, 178.00, 177.55, 180.01, 5457, 9.82, 78, 5191, 95.13
AHLUCONT, EQ, 16-Jan-2020, 299.50, 296.55, 303.00, 296.55, 301.80, 298.60, 299.16, 3589, 10.74, 241, 2497, 69.57
AHLWEST, EQ, 16-Jan-2020, 341.50, 340.00, 350.05, 330.50, 339.90, 339.85, 340.48, 522, 1.78, 168, 146, 27.97
AIAENG, EQ, 16-Jan-2020, 1642.90, 1642.90, 1666.00, 1628.00, 1640.00, 1645.30, 1644.38, 21548, 354.33, 2715, 15478, 71.83
AIONJSW, EQ, 16-Jan-2020, 16.85, 17.30, 17.30, 16.35, 16.50, 16.65, 16.77, 250536, 42.01, 500, 180455, 72.03
AIRAN, EQ, 16-Jan-2020, 13.45, 13.55, 13.55, 12.80, 12.85, 12.85, 13.02, 12297, 1.60, 68, 10374, 84.36
AJANTPHARM, EQ, 16-Jan-2020, 1083.50, 1083.50, 1137.00, 1083.50, 1133.15, 1128.60, 1112.36, 129009, 1435.04, 5763, 57170, 44.31
AJMERA, EQ, 16-Jan-2020, 143.70, 143.05, 146.20, 142.50, 142.95, 143.35, 144.29, 53560, 77.28, 1487, 32177, 60.08
AKASH, BE, 16-Jan-2020, 94.95, 94.00, 94.95, 90.25, 94.95, 91.75, 92.28, 3405, 3.14, 22, -, -
AKSHARCHEM, EQ, 16-Jan-2020, 249.65, 252.00, 256.20, 249.65, 254.00, 253.25, 253.63, 9725, 24.67, 401, 6175, 63.50
