SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 27-Jul-2020, 31.25, 31.00, 31.25, 29.25, 30.25, 30.30, 29.83, 99504, 29.68, 1199, 46919, 47.15
21STCENMGM, EQ, 27-Jul-2020, 10.65, 10.65, 10.65, 10.45, 10.65, 10.65, 10.50, 460, 0.05, 10, 456, 99.13
3IINFOTECH, EQ, 27-Jul-2020, 2.45, 2.50, 2.55, 2.35, 2.45, 2.45, 2.43, 3995761, 97.16, 1485, 2079734, 52.05
3MINDIA, EQ, 27-Jul-2020, 21492.20, 21360.00, 21582.70, 21160.05, 21555.00, 21522.65, 21491.14, 2427, 521.59, 1125, 1343, 55.34
5PAISA, EQ, 27-Jul-2020, 444.65, 456.80, 465.00, 422.45, 422.45, 422.45, 436.04, 70092, 305.63, 2107, 51175, 73.01
617GS2021, GS, 27-Jul-2020, 104.75, 104.74, 104.74, 104.74, 104.74, 104.74, 104.74, 4, 0.00, 1, 4, 100.00
63MOONS, BE, 27-Jul-2020, 71.20, 71.20, 72.90, 69.00, 70.00, 69.40, 69.74, 25183, 17.56, 297, -, -
757GS2033, GS, 27-Jul-2020, 115.00, 115.70, 115.70, 115.70, 115.70, 115.70, 115.70, 100, 0.12, 1, 100, 100.00
A2ZINFRA, EQ, 27-Jul-2020, 4.50, 4.40, 4.55, 4.30, 4.30, 4.30, 4.32, 547593, 23.65, 274, 397982, 72.68
AAKASH, SM, 27-Jul-2020, 36.50, 38.00, 38.00, 37.65, 37.90, 37.90, 37.84, 33000, 12.49, 5, 33000, 100.00
AARON, SM, 27-Jul-2020, 44.60, 44.30, 44.50, 44.30, 44.50, 44.50, 44.35, 13200, 5.85, 3, 9900, 75.00
AARTIDRUGS, EQ, 27-Jul-2020, 1586.55, 1677.00, 1805.00, 1632.35, 1751.45, 1745.05, 1727.25, 779575, 13465.19, 38108, 234430, 30.07
AARTIIND, EQ, 27-Jul-2020, 950.20, 959.90, 978.00, 940.00, 954.00, 954.85, 964.81, 643761, 6211.06, 28296, 234873, 36.48
AARTISURF, BE, 27-Jul-2020, 317.80, 301.95, 301.95, 301.95, 301.95, 301.95, 301.95, 2403, 7.26, 72, -, -
AARVEEDEN, BE, 27-Jul-2020, 10.30, 10.30, 10.75, 10.30, 10.30, 10.30, 10.31, 814, 0.08, 14, -, -
AARVI, EQ, 27-Jul-2020, 30.35, 31.75, 31.75, 31.00, 31.40, 31.40, 31.66, 545, 0.17, 10, 545, 100.00
AAVAS, EQ, 27-Jul-2020, 1392.70, 1397.00, 1419.00, 1330.55, 1334.10, 1342.50, 1373.99, 62378, 857.07, 5557, 47209, 75.68
ABAN, EQ, 27-Jul-2020, 25.10, 25.00, 25.10, 24.10, 24.40, 24.25, 24.47, 43226, 10.58, 450, 30862, 71.40
ABB, EQ, 27-Jul-2020, 912.60, 912.10, 912.10, 890.00, 894.00, 893.55, 895.54, 106000, 949.27, 7021, 43983, 41.49
ABBOTINDIA, EQ, 27-Jul-2020, 15136.65, 15224.30, 15224.30, 14933.00, 14950.00, 14947.80, 14991.44, 11891, 1782.63, 5078, 7705, 64.80
ABCAPITAL, EQ, 27-Jul-2020, 58.85, 58.90, 59.10, 57.15, 57.20, 57.35, 57.87, 1651030, 955.51, 7437, 581683, 35.23
ABFRL, EQ, 27-Jul-2020, 128.05, 128.80, 130.25, 122.85, 125.00, 125.00, 125.13, 1174775, 1470.04, 14941, 527472, 44.90
ABMINTLTD, BE, 27-Jul-2020, 12.15, 12.75, 12.75, 12.70, 12.70, 12.70, 12.75, 86, 0.01, 4, -, -
ABSLBANETF, EQ, 27-Jul-2020, 225.04, 226.04, 226.04, 216.00, 219.00, 219.00, 220.14, 423, 0.93, 32, 354, 83.69
ABSLNN50ET, EQ, 27-Jul-2020, 271.00, 271.45, 271.46, 265.01, 270.19, 270.04, 270.86, 42, 0.11, 7, 31, 73.81
ABSLRIF6RG, MF, 27-Jul-2020, 5.90, 6.26, 6.27, 6.26, 6.27, 6.26, 6.27, 30000, 1.88, 6, 30000, 100.00
ACC, EQ, 27-Jul-2020, 1343.80, 1353.00, 1372.95, 1338.00, 1359.00, 1363.40, 1357.87, 1271972, 17271.68, 36854, 377622, 29.69
ACCELYA, EQ, 27-Jul-2020, 980.70, 980.25, 996.40, 971.05, 983.50, 982.85, 987.56, 45343, 447.79, 3813, 24039, 53.02
ACCURACY, SM, 27-Jul-2020, 38.80, 39.05, 39.05, 36.90, 36.90, 36.90, 38.07, 17600, 6.70, 11, 16000, 90.91
ACE, EQ, 27-Jul-2020, 58.65, 59.05, 59.05, 55.55, 55.95, 56.25, 57.34, 201117, 115.32, 1826, 114170, 56.77
ADANIENT, EQ, 27-Jul-2020, 168.75, 168.65, 169.05, 163.00, 164.10, 165.95, 165.47, 1156539, 1913.70, 9906, 305711, 26.43
ADANIGAS, EQ, 27-Jul-2020, 147.70, 149.50, 149.90, 144.00, 144.35, 144.70, 145.80, 805757, 1174.80, 8211, 302449, 37.54
ADANIGREEN, EQ, 27-Jul-2020, 336.30, 345.95, 353.10, 325.25, 343.20, 342.20, 344.55, 1835725, 6324.92, 38586, 549190, 29.92
ADANIPORTS, EQ, 27-Jul-2020, 309.40, 309.00, 310.70, 298.00, 309.70, 309.05, 305.75, 5465737, 16711.73, 39366, 2380661, 43.56
ADANIPOWER, EQ, 27-Jul-2020, 35.00, 35.00, 35.70, 35.00, 35.35, 35.25, 35.36, 3375946, 1193.73, 7547, 1746566, 51.74
ADANITRANS, EQ, 27-Jul-2020, 233.05, 237.00, 237.50, 223.20, 226.40, 225.10, 226.10, 375005, 847.87, 9737, 240792, 64.21
ADFFOODS, EQ, 27-Jul-2020, 325.35, 333.00, 341.60, 330.05, 341.60, 341.20, 338.55, 237418, 803.77, 3480, 132252, 55.70
ADHUNIKIND, BE, 27-Jul-2020, 20.15, 21.00, 21.00, 19.45, 20.00, 19.50, 19.76, 4096, 0.81, 51, -, -
ADORWELD, EQ, 27-Jul-2020, 253.85, 254.00, 254.00, 248.95, 251.90, 251.65, 251.42, 4896, 12.31, 640, 3091, 63.13
ADROITINFO, BE, 27-Jul-2020, 9.05, 8.85, 9.05, 8.85, 9.05, 9.05, 8.94, 200, 0.02, 7, -, -
ADSL, EQ, 27-Jul-2020, 18.00, 17.75, 18.90, 17.70, 18.90, 18.90, 18.58, 58618, 10.89, 273, 53240, 90.83
ADVANIHOTR, EQ, 27-Jul-2020, 40.90, 40.00, 42.00, 40.00, 40.05, 40.40, 40.57, 1243, 0.50, 71, 712, 57.28
ADVENZYMES, EQ, 27-Jul-2020, 162.25, 163.00, 164.00, 158.00, 158.40, 159.50, 160.54, 86447, 138.79, 2892, 59861, 69.25
AEGISCHEM, EQ, 27-Jul-2020, 188.00, 188.15, 191.80, 185.10, 187.00, 186.80, 188.95, 158328, 299.16, 6684, 96675, 61.06
AFFLE, EQ, 27-Jul-2020, 1712.55, 1723.95, 1723.95, 1645.00, 1670.25, 1664.95, 1671.32, 48329, 807.73, 9734, 28073, 58.09
