SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 11-Mar-2020, 27.70, 28.25, 28.25, 24.65, 26.50, 26.85, 26.64, 63808, 17.00, 810, 38123, 59.75
3IINFOTECH, EQ, 11-Mar-2020, 1.70, 1.75, 1.80, 1.65, 1.80, 1.75, 1.72, 2505779, 43.11, 1047, 1250137, 49.89
3MINDIA, EQ, 11-Mar-2020, 21038.45, 21190.00, 21285.15, 20600.00, 20621.00, 20683.35, 20940.89, 7387, 1546.90, 3833, 2902, 39.29
3PLAND, EQ, 11-Mar-2020, 4.15, 4.20, 4.35, 4.15, 4.35, 4.35, 4.15, 404, 0.02, 3, 404, 100.00
5PAISA, EQ, 11-Mar-2020, 145.95, 151.75, 155.00, 147.00, 151.00, 149.45, 150.60, 7838, 11.80, 302, 5025, 64.11
63MOONS, EQ, 11-Mar-2020, 77.75, 78.95, 82.00, 76.00, 76.15, 76.05, 77.99, 103167, 80.46, 4135, 45089, 43.70
763GS2059, GS, 11-Mar-2020, 104.75, 104.50, 104.50, 104.50, 104.50, 104.50, 104.50, 100, 0.10, 1, 100, 100.00
772GS2055, GS, 11-Mar-2020, 103.50, 104.00, 104.00, 104.00, 104.00, 104.00, 104.00, 100, 0.10, 1, 100, 100.00
824GS2027, GS, 11-Mar-2020, 104.00, 104.99, 105.00, 104.99, 105.00, 104.99, 104.99, 590, 0.62, 4, 590, 100.00
824GS2033, GS, 11-Mar-2020, 101.00, 106.00, 106.00, 106.00, 106.00, 106.00, 106.00, 100, 0.11, 1, 100, 100.00
A2ZINFRA, EQ, 11-Mar-2020, 3.95, 4.40, 4.70, 4.10, 4.70, 4.70, 4.47, 736477, 32.92, 1233, 440699, 59.84
AARON, SM, 11-Mar-2020, 42.60, 45.00, 45.00, 45.00, 45.00, 45.00, 45.00, 3300, 1.49, 1, 3300, 100.00
AARTIDRUGS, EQ, 11-Mar-2020, 626.55, 626.55, 642.55, 601.10, 604.90, 612.15, 623.34, 33269, 207.38, 2012, 15856, 47.66
AARTIIND, EQ, 11-Mar-2020, 942.40, 945.30, 948.25, 911.45, 932.00, 931.25, 928.60, 246124, 2285.52, 9249, 178031, 72.33
AARVEEDEN, EQ, 11-Mar-2020, 11.05, 13.00, 13.25, 10.30, 11.50, 11.30, 11.45, 4757, 0.54, 128, 1654, 34.77
AARVI, SM, 11-Mar-2020, 21.40, 22.00, 22.00, 22.00, 22.00, 22.00, 22.00, 2000, 0.44, 1, 2000, 100.00
AAVAS, EQ, 11-Mar-2020, 1901.00, 1901.00, 1930.00, 1868.00, 1890.00, 1880.95, 1898.25, 228995, 4346.90, 9911, 213314, 93.15
ABAN, EQ, 11-Mar-2020, 15.95, 15.95, 17.40, 15.25, 17.25, 17.20, 16.91, 98443, 16.65, 1001, 64564, 65.59
ABB, EQ, 11-Mar-2020, 1129.85, 1130.00, 1143.00, 1096.50, 1110.05, 1109.45, 1110.05, 55300, 613.86, 5344, 37131, 67.14
ABBOTINDIA, EQ, 11-Mar-2020, 14930.85, 14870.00, 15298.80, 14620.25, 14621.00, 14662.25, 14753.77, 18053, 2663.50, 4205, 13191, 73.07
ABCAPITAL, EQ, 11-Mar-2020, 67.55, 68.20, 70.40, 67.10, 67.30, 68.00, 68.50, 1446517, 990.93, 12682, 597647, 41.32
ABFRL, EQ, 11-Mar-2020, 241.80, 241.80, 247.40, 232.25, 235.60, 235.30, 240.45, 672301, 1616.58, 11461, 508450, 75.63
ABMINTLTD, BE, 11-Mar-2020, 13.45, 13.45, 13.45, 13.45, 13.45, 13.45, 13.45, 1, 0.00, 1, -, -
ABSLBANETF, EQ, 11-Mar-2020, 265.46, 310.00, 314.99, 251.90, 264.80, 264.80, 277.72, 155, 0.43, 29, 93, 60.00
ABSLNN50ET, EQ, 11-Mar-2020, 254.00, 258.00, 289.30, 258.00, 289.30, 289.30, 267.62, 10, 0.03, 6, 7, 70.00
ACC, EQ, 11-Mar-2020, 1248.35, 1243.00, 1264.75, 1211.25, 1214.00, 1215.45, 1229.36, 875885, 10767.75, 34140, 290335, 33.15
ACCELYA, EQ, 11-Mar-2020, 1020.60, 1004.00, 1020.00, 1001.80, 1005.05, 1005.90, 1006.46, 7600, 76.49, 448, 6570, 86.45
ACCURACY, SM, 11-Mar-2020, 17.55, 16.75, 16.75, 16.70, 16.70, 16.70, 16.73, 3200, 0.54, 2, 3200, 100.00
ACE, EQ, 11-Mar-2020, 59.45, 57.70, 63.95, 57.70, 59.75, 59.25, 59.61, 157060, 93.62, 1401, 57021, 36.31
ADANIENT, EQ, 11-Mar-2020, 199.70, 197.40, 205.00, 192.25, 192.55, 195.75, 199.33, 3763191, 7501.24, 21387, 336741, 8.95
ADANIGAS, EQ, 11-Mar-2020, 120.20, 120.00, 126.00, 118.20, 119.30, 119.80, 121.52, 1818434, 2209.70, 17837, 557308, 30.65
ADANIGREEN, EQ, 11-Mar-2020, 137.70, 131.10, 136.40, 130.85, 130.85, 130.85, 132.18, 1132428, 1496.83, 9572, 489238, 43.20
ADANIPORTS, EQ, 11-Mar-2020, 321.90, 322.80, 326.35, 316.20, 320.90, 320.20, 321.61, 5634636, 18121.73, 46713, 3343698, 59.34
ADANIPOWER, EQ, 11-Mar-2020, 40.75, 40.50, 42.75, 40.05, 40.80, 41.20, 41.74, 8429950, 3518.49, 15647, 604052, 7.17
ADANITRANS, EQ, 11-Mar-2020, 205.30, 206.35, 217.20, 202.10, 203.00, 204.65, 209.25, 149029, 311.84, 5350, 59056, 39.63
ADFFOODS, EQ, 11-Mar-2020, 215.90, 218.05, 225.00, 215.00, 218.50, 221.45, 221.67, 10598, 23.49, 608, 5850, 55.20
ADHUNIKIND, EQ, 11-Mar-2020, 25.65, 24.40, 24.40, 24.40, 24.40, 24.40, 24.40, 2326, 0.57, 27, 2326, 100.00
ADLABS, EQ, 11-Mar-2020, 3.05, 3.20, 3.20, 2.90, 2.95, 2.95, 2.93, 116968, 3.43, 275, 103800, 88.74
ADORWELD, EQ, 11-Mar-2020, 275.65, 288.15, 288.15, 265.45, 280.00, 277.95, 280.18, 2512, 7.04, 185, 1250, 49.76
ADROITINFO, EQ, 11-Mar-2020, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 20, 0.00, 2, 20, 100.00
ADSL, EQ, 11-Mar-2020, 16.35, 15.60, 17.00, 15.55, 17.00, 16.50, 15.98, 21517, 3.44, 500, 16581, 77.06
ADVANIHOTR, EQ, 11-Mar-2020, 45.00, 48.20, 49.90, 43.50, 46.00, 45.25, 46.85, 364082, 170.57, 575, 9265, 2.54
ADVENZYMES, EQ, 11-Mar-2020, 137.30, 140.50, 140.55, 136.00, 139.70, 137.50, 137.74, 89722, 123.58, 1768, 68185, 76.00
AEGISCHEM, EQ, 11-Mar-2020, 207.45, 205.30, 213.50, 191.25, 192.50, 196.55, 202.43, 274267, 555.21, 10812, 167027, 60.90
AFFLE, BE, 11-Mar-2020, 1570.55, 1550.00, 1570.45, 1492.05, 1492.05, 1492.05, 1505.64, 29469, 443.70, 3012, -, -
AGARIND, EQ, 11-Mar-2020, 62.70, 65.60, 67.00, 62.00, 63.00, 64.05, 64.47, 3247, 2.09, 129, 2520, 77.61
AGCNET, BE, 11-Mar-2020, 318.55, 302.65, 318.55, 302.65, 307.00, 303.00, 304.24, 14063, 42.78, 239, -, -
AGRITECH, EQ, 11-Mar-2020, 27.25, 27.40, 28.75, 26.55, 27.00, 27.60, 27.59, 10605, 2.93, 163, 5338, 50.33
AGROPHOS, EQ, 11-Mar-2020, 10.95, 10.45, 10.45, 10.45, 10.45, 10.45, 10.45, 731, 0.08, 23, 731, 100.00
AHLADA, SM, 11-Mar-2020, 60.00, 59.00, 61.00, 59.00, 61.00, 61.00, 60.00, 2000, 1.20, 2, 1000, 50.00
AHLEAST, EQ, 11-Mar-2020, 181.55, 181.65, 192.95, 180.00, 180.00, 180.95, 183.61, 474, 0.87, 31, 284, 59.92
AHLUCONT, EQ, 11-Mar-2020, 321.15, 321.00, 326.65, 317.30, 324.00, 324.00, 323.20, 4723, 15.26, 382, 2647, 56.04
AHLWEST, EQ, 11-Mar-2020, 326.05, 313.00, 325.00, 298.00, 298.00, 298.40, 304.71, 347, 1.06, 63, 228, 65.71
AIAENG, EQ, 11-Mar-2020, 1776.65, 1770.00, 1789.55, 1723.05, 1750.00, 1762.90, 1750.63, 44233, 774.35, 6130, 28691, 64.86
AIONJSW, EQ, 11-Mar-2020, 11.25, 11.25, 11.80, 10.70, 10.70, 10.70, 10.80, 176423, 19.05, 403, 121652, 68.95
AIRAN, EQ, 11-Mar-2020, 10.90, 10.80, 11.45, 10.60, 11.40, 11.40, 10.66, 31893, 3.40, 21, 31806, 99.73
AISL, SM, 11-Mar-2020, 25.30, 24.05, 24.05, 24.05, 24.05, 24.05, 24.05, 4800, 1.15, 4, 3600, 75.00
AJANTPHARM, EQ, 11-Mar-2020, 1400.50, 1400.55, 1445.00, 1356.35, 1399.00, 1396.00, 1401.27, 147482, 2066.62, 13015, 31872, 21.61
AJMERA, EQ, 11-Mar-2020, 81.80, 79.00, 87.90, 79.00, 81.50, 82.10, 82.06, 261082, 214.24, 3108, 220289, 84.38
AJOONI, SM, 11-Mar-2020, 9.75, 10.00, 10.15, 10.00, 10.15, 10.15, 10.05, 12000, 1.21, 3, 12000, 100.00
AKSHARCHEM, EQ, 11-Mar-2020, 201.40, 206.00, 218.50, 194.35, 210.00, 210.70, 209.95, 32424, 68.07, 622, 26102, 80.50
AKSHOPTFBR, EQ, 11-Mar-2020, 4.60, 4.50, 4.75, 4.40, 4.40, 4.40, 4.42, 315808, 13.96, 416, 223306, 70.71
AKZOINDIA, EQ, 11-Mar-2020, 2394.95, 2400.00, 2490.25, 2395.50, 2490.00, 2478.25, 2465.12, 39913, 983.90, 6281, 17346, 43.46
ALANKIT, EQ, 11-Mar-2020, 13.25, 13.25, 14.35, 13.00, 13.75, 13.70, 13.59, 281172, 38.21, 823, 109577, 38.97
ALBERTDAVD, EQ, 11-Mar-2020, 395.70, 388.00, 403.90, 387.95, 400.00, 396.20, 398.01, 10802, 42.99, 474, 6796, 62.91
ALBK, EQ, 11-Mar-2020, 9.10, 9.35, 9.55, 9.00, 9.05, 9.05, 9.24, 2899208, 267.90, 6924, 1353211, 46.68
ALCHEM, BE, 11-Mar-2020, 0.85, 0.85, 0.90, 0.85, 0.90, 0.90, 0.89, 11672, 0.10, 12, -, -
ALEMBICLTD, EQ, 11-Mar-2020, 47.40, 47.60, 48.40, 46.40, 46.40, 46.55, 47.16, 68859, 32.48, 1084, 47913, 69.58
ALICON, EQ, 11-Mar-2020, 263.75, 273.85, 279.75, 240.00, 260.85, 248.80, 256.13, 1821, 4.66, 350, 1150, 63.15
ALKALI, EQ, 11-Mar-2020, 38.55, 39.10, 40.00, 38.60, 38.60, 38.95, 39.30, 3970, 1.56, 76, 2969, 74.79
ALKEM, EQ, 11-Mar-2020, 2566.90, 2580.00, 2635.00, 2550.00, 2575.10, 2590.95, 2588.63, 133143, 3446.58, 23180, 79503, 59.71
ALKYLAMINE, EQ, 11-Mar-2020, 1464.85, 1465.00, 1495.05, 1414.55, 1455.00, 1455.55, 1462.96, 37822, 553.32, 3639, 24187, 63.95
ALLCARGO, EQ, 11-Mar-2020, 104.30, 103.00, 108.00, 102.20, 105.30, 105.35, 104.27, 255444, 266.35, 1766, 201168, 78.75
ALLSEC, EQ, 11-Mar-2020, 233.75, 233.00, 236.00, 224.00, 235.75, 235.75, 231.59, 3809, 8.82, 71, 3479, 91.34
ALMONDZ, EQ, 11-Mar-2020, 15.90, 15.15, 16.40, 15.15, 16.40, 16.10, 15.92, 53, 0.01, 9, 31, 58.49
ALOKINDS, EQ, 11-Mar-2020, 7.95, 7.60, 7.60, 7.60, 7.60, 7.60, 7.60, 319894, 24.31, 566, 317222, 99.16
ALPA, EQ, 11-Mar-2020, 13.45, 14.50, 14.95, 13.70, 14.90, 14.90, 14.63, 39224, 5.74, 218, 28787, 73.39
ALPHAGEO, EQ, 11-Mar-2020, 160.00, 171.00, 175.00, 163.05, 168.80, 170.25, 170.40, 27151, 46.26, 1360, 16864, 62.11
ALPSINDUS, EQ, 11-Mar-2020, 0.65, 0.65, 0.70, 0.60, 0.70, 0.65, 0.65, 49762, 0.32, 39, 49662, 99.80
AMARAJABAT, EQ, 11-Mar-2020, 620.15, 620.00, 629.95, 600.00, 600.70, 602.70, 606.05, 644228, 3904.35, 30292, 196296, 30.47
AMBANIORG, SM, 11-Mar-2020, 57.10, 58.00, 61.15, 58.00, 61.15, 61.15, 59.58, 4000, 2.38, 2, 4000, 100.00
AMBER, EQ, 11-Mar-2020, 1366.75, 1369.00, 1444.30, 1342.15, 1439.00, 1425.10, 1389.09, 96525, 1340.82, 11951, 54606, 56.57
AMBIKCO, EQ, 11-Mar-2020, 758.10, 772.00, 790.20, 759.95, 780.00, 776.15, 774.49, 4390, 34.00, 588, 2491, 56.74
AMBUJACEM, EQ, 11-Mar-2020, 193.70, 194.10, 196.45, 189.80, 190.05, 190.45, 192.48, 3553048, 6838.85, 40356, 1465495, 41.25
AMDIND, EQ, 11-Mar-2020, 12.75, 13.25, 15.30, 12.75, 13.85, 13.70, 13.85, 3396, 0.47, 49, 2789, 82.13
