SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 16-Jul-2020, 31.80, 32.35, 32.45, 30.25, 30.75, 31.00, 31.25, 44393, 13.87, 535, 35262, 79.43
21STCENMGM, EQ, 16-Jul-2020, 10.55, 10.75, 10.75, 10.35, 10.75, 10.75, 10.68, 1842, 0.20, 19, 1842, 100.00
3IINFOTECH, EQ, 16-Jul-2020, 2.60, 2.65, 2.70, 2.50, 2.70, 2.70, 2.60, 6865908, 178.30, 2005, 3901051, 56.82
3MINDIA, EQ, 16-Jul-2020, 20375.90, 20398.10, 20700.00, 20151.05, 20565.00, 20569.70, 20398.13, 18162, 3704.71, 1793, 16089, 88.59
509GS2022, GS, 16-Jul-2020, 97.50, 98.10, 101.25, 96.00, 101.25, 101.25, 98.03, 78, 0.08, 9, 69, 88.46
5PAISA, EQ, 16-Jul-2020, 341.45, 358.50, 358.50, 358.50, 358.50, 358.50, 358.50, 8504, 30.49, 88, 8504, 100.00
601GS2028, GS, 16-Jul-2020, 82.59, 78.50, 78.50, 78.50, 78.50, 78.50, 78.50, 1, 0.00, 1, 1, 100.00
63MOONS, BE, 16-Jul-2020, 73.15, 75.00, 75.00, 70.00, 72.20, 71.45, 71.74, 11819, 8.48, 214, -, -
716GS2050, GS, 16-Jul-2020, 106.44, 111.75, 111.75, 111.75, 111.75, 111.75, 111.75, 100, 0.11, 2, 100, 100.00
757GS2033, GS, 16-Jul-2020, 112.00, 112.00, 116.00, 112.00, 116.00, 116.00, 112.67, 120, 0.14, 2, 120, 100.00
763GS2059, GS, 16-Jul-2020, 118.33, 122.00, 122.00, 122.00, 122.00, 122.00, 122.00, 50, 0.06, 2, 50, 100.00
A2ZINFRA, EQ, 16-Jul-2020, 4.75, 4.75, 4.75, 4.55, 4.55, 4.55, 4.60, 153164, 7.05, 257, 113560, 74.14
AAKASH, SM, 16-Jul-2020, 32.00, 33.50, 33.50, 33.50, 33.50, 33.50, 33.50, 3000, 1.01, 1, 3000, 100.00
