SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 21-Sep-2020, 29.10, 28.75, 29.50, 28.10, 28.10, 28.25, 28.77, 47282, 13.60, 436, 18446, 39.01
21STCENMGM, EQ, 21-Sep-2020, 10.30, 10.20, 10.50, 10.10, 10.45, 10.45, 10.10, 10382, 1.05, 35, 10376, 99.94
3IINFOTECH, EQ, 21-Sep-2020, 3.40, 3.35, 3.40, 3.25, 3.25, 3.25, 3.30, 3748227, 123.55, 2924, 2217923, 59.17
3MINDIA, EQ, 21-Sep-2020, 18747.50, 18750.00, 18949.90, 18130.55, 18444.00, 18239.55, 18450.49, 5829, 1075.48, 4328, 3933, 67.47
5PAISA, BE, 21-Sep-2020, 379.70, 389.90, 389.95, 360.75, 361.50, 361.90, 364.11, 12930, 47.08, 174, -, -
601GS2028, GS, 21-Sep-2020, 74.61, 70.91, 70.91, 70.91, 70.91, 70.91, 70.91, 1, 0.00, 1, 1, 100.00
63MOONS, EQ, 21-Sep-2020, 75.75, 74.20, 78.00, 72.25, 73.15, 73.35, 74.98, 26954, 20.21, 944, 16652, 61.78
719GS2060, GS, 21-Sep-2020, 112.50, 112.50, 112.50, 112.50, 112.50, 112.50, 112.50, 101, 0.11, 2, 101, 100.00
737GS2023, GS, 21-Sep-2020, 101.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100, 0.10, 1, 100, 100.00
824GS2027, GS, 21-Sep-2020, 112.00, 114.50, 114.50, 114.50, 114.50, 114.50, 114.50, 10, 0.01, 1, 10, 100.00
8KMILES, EQ, 21-Sep-2020, 38.95, 40.85, 40.85, 40.85, 40.85, 40.85, 40.85, 11527, 4.71, 69, 11527, 100.00
A2ZINFRA, EQ, 21-Sep-2020, 4.30, 4.30, 4.30, 4.15, 4.15, 4.20, 4.22, 350024, 14.78, 286, 244392, 69.82
AARON, SM, 21-Sep-2020, 30.60, 29.00, 29.00, 29.00, 29.00, 29.00, 29.00, 6300, 1.83, 1, 6300, 100.00
AARTIDRUGS, EQ, 21-Sep-2020, 2967.35, 3004.70, 3014.00, 2819.00, 2847.75, 2843.10, 2909.00, 184864, 5377.69, 26838, 85951, 46.49
AARTIIND, EQ, 21-Sep-2020, 1070.10, 1070.00, 1096.60, 1024.90, 1049.60, 1048.05, 1060.88, 240669, 2553.22, 17247, 87663, 36.42
AARTISURF, BE, 21-Sep-2020, 508.20, 508.20, 528.00, 503.00, 510.00, 507.35, 514.68, 16973, 87.36, 1017, -, -
AARVEEDEN, EQ, 21-Sep-2020, 12.15, 11.85, 12.45, 11.55, 11.55, 11.65, 11.69, 17051, 1.99, 109, 13763, 80.72
AARVI, EQ, 21-Sep-2020, 38.10, 39.70, 39.70, 38.20, 38.20, 38.20, 38.48, 2670, 1.03, 22, 2669, 99.96
AAVAS, EQ, 21-Sep-2020, 1397.50, 1388.00, 1428.70, 1320.00, 1339.00, 1336.00, 1411.43, 247542, 3493.88, 4133, 230890, 93.27
ABAN, EQ, 21-Sep-2020, 24.75, 24.85, 24.90, 23.80, 23.80, 23.90, 24.17, 83910, 20.28, 687, 63547, 75.73
ABB, EQ, 21-Sep-2020, 900.80, 904.00, 905.90, 896.30, 901.00, 898.75, 899.86, 98225, 883.88, 4005, 59153, 60.22
ABBOTINDIA, EQ, 21-Sep-2020, 16506.15, 16511.05, 16800.00, 15660.00, 15898.90, 15890.15, 16193.29, 23230, 3761.70, 6555, 12932, 55.67
ABCAPITAL, EQ, 21-Sep-2020, 69.85, 70.00, 70.45, 64.00, 64.45, 64.60, 66.92, 2514668, 1682.79, 13797, 1220353, 48.53
ABFRL, EQ, 21-Sep-2020, 133.15, 134.05, 134.35, 123.35, 127.20, 126.60, 129.45, 1442459, 1867.27, 20730, 719339, 49.87
ABFRLPP, E1, 21-Sep-2020, 75.80, 78.00, 78.20, 72.90, 73.70, 73.45, 75.43, 84015, 63.38, 714, 55211, 65.72
ABINFRA, SM, 21-Sep-2020, 9.90, 9.90, 9.90, 9.90, 9.90, 9.90, 9.90, 4000, 0.40, 1, 4000, 100.00
ABMINTLTD, BE, 21-Sep-2020, 25.30, 24.05, 24.05, 24.05, 24.05, 24.05, 24.05, 286, 0.07, 4, -, -
ABSLBANETF, EQ, 21-Sep-2020, 227.21, 223.10, 229.98, 217.00, 217.00, 217.18, 219.95, 457, 1.01, 44, 390, 85.34
ABSLNN50ET, EQ, 21-Sep-2020, 278.04, 285.00, 285.00, 273.00, 280.00, 274.41, 274.63, 162, 0.44, 17, 79, 48.77
ACC, EQ, 21-Sep-2020, 1431.80, 1431.40, 1431.40, 1366.20, 1369.00, 1377.75, 1404.24, 437372, 6141.74, 19049, 49959, 11.42
ACCELYA, EQ, 21-Sep-2020, 1032.15, 1023.00, 1034.00, 1023.00, 1025.55, 1025.80, 1030.10, 22410, 230.84, 724, 17766, 79.28
ACCURACY, SM, 21-Sep-2020, 38.00, 38.50, 39.75, 38.00, 39.75, 39.75, 38.70, 6400, 2.48, 4, 1600, 25.00
ACE, EQ, 21-Sep-2020, 68.40, 68.85, 68.85, 65.25, 67.40, 66.55, 67.11, 188130, 126.26, 1880, 121580, 64.63
ADANIENT, EQ, 21-Sep-2020, 291.55, 293.00, 296.25, 265.00, 277.50, 277.10, 284.79, 6460064, 18397.56, 48818, 2464491, 38.15
ADANIGAS, EQ, 21-Sep-2020, 193.30, 194.60, 196.70, 182.30, 187.20, 186.30, 190.72, 2206135, 4207.48, 30250, 837735, 37.97
ADANIGREEN, EQ, 21-Sep-2020, 665.60, 680.05, 686.90, 646.00, 649.00, 651.75, 668.01, 1096354, 7323.70, 42792, 563550, 51.40
ADANIPORTS, EQ, 21-Sep-2020, 357.85, 358.00, 359.00, 343.95, 345.95, 347.85, 352.77, 3086223, 10887.42, 40089, 656021, 21.26
ADANIPOWER, EQ, 21-Sep-2020, 37.40, 37.45, 37.80, 36.80, 36.90, 37.00, 37.33, 2322633, 866.95, 5246, 1436269, 61.84
ADANITRANS, EQ, 21-Sep-2020, 257.95, 259.75, 259.75, 244.15, 244.55, 245.60, 251.74, 269836, 679.29, 10676, 115329, 42.74
ADFFOODS, EQ, 21-Sep-2020, 437.80, 445.00, 459.65, 415.95, 419.90, 417.20, 435.91, 298130, 1299.58, 8798, 112257, 37.65
ADHUNIKIND, EQ, 21-Sep-2020, 19.50, 19.80, 19.80, 19.00, 19.35, 19.15, 19.28, 18000, 3.47, 110, 12614, 70.08
ADORWELD, EQ, 21-Sep-2020, 275.10, 274.45, 274.45, 252.85, 255.00, 256.90, 264.40, 31470, 83.21, 1581, 18461, 58.66
ADROITINFO, EQ, 21-Sep-2020, 5.30, 5.05, 5.40, 5.05, 5.05, 5.05, 5.13, 435, 0.02, 8, 435, 100.00
ADSL, EQ, 21-Sep-2020, 24.55, 24.55, 25.20, 23.55, 23.55, 24.00, 24.65, 109511, 26.99, 491, 79471, 72.57
ADVANIHOTR, EQ, 21-Sep-2020, 43.95, 42.95, 43.60, 41.00, 42.00, 41.55, 42.03, 10731, 4.51, 178, 8660, 80.70
ADVENZYMES, EQ, 21-Sep-2020, 251.05, 252.85, 257.35, 231.00, 235.00, 234.50, 247.45, 803641, 1988.63, 20700, 272669, 33.93
AEGISCHEM, EQ, 21-Sep-2020, 235.10, 237.90, 244.65, 228.05, 232.50, 233.80, 239.03, 319405, 763.48, 13238, 259039, 81.10
AFFLE, EQ, 21-Sep-2020, 3035.10, 3035.10, 3060.00, 2890.00, 2943.00, 2951.70, 2974.66, 85957, 2556.92, 15127, 59160, 68.83
AGARIND, EQ, 21-Sep-2020, 99.15, 99.15, 102.70, 94.20, 99.40, 98.15, 99.30, 18509, 18.38, 303, 13922, 75.22
AGCNET, EQ, 21-Sep-2020, 357.15, 360.00, 370.00, 344.90, 345.00, 347.60, 359.17, 15981, 57.40, 594, 9529, 59.63
AGRITECH, EQ, 21-Sep-2020, 30.75, 31.70, 32.25, 30.05, 30.05, 30.10, 31.52, 21069, 6.64, 345, 9974, 47.34
AGROPHOS, EQ, 21-Sep-2020, 10.40, 10.40, 10.70, 9.95, 10.10, 10.05, 10.23, 32203, 3.29, 223, 22608, 70.20
AHLADA, SM, 21-Sep-2020, 46.00, 46.00, 47.00, 46.00, 47.00, 46.50, 46.50, 2000, 0.93, 2, 2000, 100.00
AHLEAST, EQ, 21-Sep-2020, 148.95, 155.70, 155.70, 147.00, 147.10, 147.05, 148.82, 483, 0.72, 41, 278, 57.56
AHLUCONT, EQ, 21-Sep-2020, 255.80, 255.80, 261.00, 248.00, 248.15, 249.70, 255.00, 23325, 59.48, 1397, 10708, 45.91
AHLWEST, EQ, 21-Sep-2020, 269.10, 262.00, 295.00, 262.00, 280.00, 275.00, 280.03, 7763, 21.74, 316, 6110, 78.71
AIAENG, EQ, 21-Sep-2020, 1865.65, 1920.00, 1977.25, 1776.25, 1778.00, 1799.40, 1844.85, 57553, 1061.77, 9889, 20162, 35.03
AIONJSW, EQ, 21-Sep-2020, 19.40, 19.70, 20.00, 18.45, 18.45, 18.45, 19.25, 469394, 90.38, 671, 360580, 76.82
AIRAN, EQ, 21-Sep-2020, 11.90, 12.25, 12.25, 11.80, 11.90, 11.80, 12.00, 18308, 2.20, 143, 15287, 83.50
AISL, SM, 21-Sep-2020, 22.00, 21.65, 22.50, 21.65, 22.50, 22.50, 21.91, 4800, 1.05, 4, 3600, 75.00
AJANTPHARM, EQ, 21-Sep-2020, 1613.10, 1635.00, 1655.80, 1525.00, 1570.00, 1590.65, 1598.49, 346626, 5540.79, 26416, 80230, 23.15
AJMERA, EQ, 21-Sep-2020, 86.20, 86.65, 89.25, 82.80, 83.90, 83.60, 86.10, 72198, 62.16, 1222, 34769, 48.16
AJOONI, SM, 21-Sep-2020, 32.50, 32.00, 32.00, 30.90, 30.90, 30.90, 31.49, 32000, 10.08, 8, 28000, 87.50
AKASH, BE, 21-Sep-2020, 247.25, 247.25, 247.25, 234.90, 243.80, 240.55, 237.14, 8748, 20.75, 141, -, -
AKG, SM, 21-Sep-2020, 46.60, 46.15, 46.95, 46.15, 46.95, 46.95, 46.53, 12000, 5.58, 3, 0, 0.00
