SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 03-Feb-2020, 33.75, 34.50, 34.85, 33.50, 34.15, 34.45, 34.43, 13398, 4.61, 304, 9613, 71.75
21STCENMGM, EQ, 03-Feb-2020, 14.30, 14.30, 14.30, 14.30, 14.30, 14.30, 14.30, 58, 0.01, 3, 54, 93.10
3IINFOTECH, EQ, 03-Feb-2020, 2.20, 2.20, 2.20, 2.05, 2.20, 2.15, 2.14, 1206134, 25.75, 595, 714251, 59.22
3MINDIA, EQ, 03-Feb-2020, 22261.60, 22240.00, 23199.95, 22000.00, 22718.50, 22637.05, 22759.20, 3896, 886.70, 2066, 2178, 55.90
3PLAND, EQ, 03-Feb-2020, 7.25, 7.25, 7.25, 6.90, 6.90, 6.90, 6.95, 683, 0.05, 8, 683, 100.00
5PAISA, EQ, 03-Feb-2020, 180.20, 184.95, 186.00, 180.70, 181.40, 182.70, 182.49, 11106, 20.27, 282, 6100, 54.93
63MOONS, EQ, 03-Feb-2020, 102.15, 102.10, 104.20, 101.10, 102.00, 101.75, 102.41, 65914, 67.50, 1396, 30549, 46.35
762GS2039, GS, 03-Feb-2020, 92.00, 96.60, 96.60, 96.60, 96.60, 96.60, 96.60, 200, 0.19, 2, 200, 100.00
8KMILES, BZ, 03-Feb-2020, 30.80, 31.60, 32.30, 29.40, 32.30, 31.40, 32.03, 186385, 59.69, 353, -, -
A2ZINFRA, EQ, 03-Feb-2020, 6.95, 6.95, 7.00, 6.65, 6.70, 6.75, 6.81, 115003, 7.84, 394, 73306, 63.74
AARON, SM, 03-Feb-2020, 49.10, 48.85, 48.85, 48.85, 48.85, 48.85, 48.85, 3300, 1.61, 1, 3300, 100.00
AARTIDRUGS, EQ, 03-Feb-2020, 597.15, 596.00, 609.00, 576.85, 586.25, 586.75, 587.96, 11154, 65.58, 806, 6189, 55.49
