SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 29-Jun-2020, 32.30, 33.00, 35.00, 32.40, 34.30, 34.45, 33.89, 241641, 81.90, 1526, 134317, 55.59
21STCENMGM, EQ, 29-Jun-2020, 11.30, 11.30, 11.35, 11.10, 11.10, 11.10, 11.15, 3095, 0.35, 28, 3090, 99.84
3IINFOTECH, EQ, 29-Jun-2020, 2.50, 2.60, 2.60, 2.50, 2.60, 2.60, 2.57, 6164239, 158.43, 3095, 4310876, 69.93
3MINDIA, EQ, 29-Jun-2020, 19103.00, 19103.00, 19200.00, 18822.00, 19002.00, 19113.85, 19016.13, 4684, 890.72, 2570, 2439, 52.07
509GS2022, GS, 29-Jun-2020, 103.00, 101.25, 102.00, 101.00, 102.00, 102.00, 101.16, 202, 0.20, 3, 202, 100.00
5PAISA, EQ, 29-Jun-2020, 234.00, 233.00, 233.00, 213.30, 217.50, 216.20, 219.88, 52100, 114.56, 1453, 35896, 68.90
63MOONS, BE, 29-Jun-2020, 78.10, 78.50, 79.55, 75.25, 76.90, 76.75, 76.37, 12179, 9.30, 232, -, -
757GS2033, GS, 29-Jun-2020, 115.50, 116.00, 116.00, 116.00, 116.00, 116.00, 116.00, 7, 0.01, 1, 7, 100.00
759GS2026, GS, 29-Jun-2020, 112.00, 112.00, 112.00, 112.00, 112.00, 112.00, 112.00, 99, 0.11, 1, 99, 100.00
769GS2043, GS, 29-Jun-2020, 126.80, 120.49, 120.49, 120.49, 120.49, 120.49, 120.49, 1, 0.00, 1, 1, 100.00
772GS2049, GS, 29-Jun-2020, 119.00, 119.00, 119.00, 119.00, 119.00, 119.00, 119.00, 50, 0.06, 1, 50, 100.00
A2ZINFRA, EQ, 29-Jun-2020, 6.00, 6.30, 6.30, 5.70, 5.70, 5.70, 5.92, 1001685, 59.27, 1116, 806291, 80.49
AARON, SM, 29-Jun-2020, 43.40, 43.20, 43.20, 43.20, 43.20, 43.20, 43.20, 3300, 1.43, 1, 3300, 100.00
AARTIDRUGS, EQ, 29-Jun-2020, 1282.75, 1281.00, 1282.00, 1250.05, 1270.05, 1269.60, 1263.88, 61837, 781.54, 4229, 36978, 59.80
AARTIIND, EQ, 29-Jun-2020, 953.70, 944.50, 948.40, 921.65, 925.00, 924.55, 931.85, 248375, 2314.49, 12122, 114295, 46.02
AARVEEDEN, BE, 29-Jun-2020, 12.40, 11.90, 12.55, 11.80, 12.25, 12.25, 11.93, 14180, 1.69, 50, -, -
AARVI, EQ, 29-Jun-2020, 27.15, 28.50, 28.50, 28.50, 28.50, 28.50, 28.50, 51, 0.01, 2, 51, 100.00
AAVAS, EQ, 29-Jun-2020, 1343.00, 1340.00, 1379.00, 1281.00, 1370.00, 1370.25, 1358.97, 121780, 1654.96, 3478, 102144, 83.88
ABAN, EQ, 29-Jun-2020, 27.55, 29.20, 30.30, 27.95, 30.30, 30.30, 29.67, 483192, 143.36, 2439, 271626, 56.21
ABB, EQ, 29-Jun-2020, 914.35, 920.00, 929.00, 885.60, 923.00, 922.35, 908.83, 224329, 2038.76, 10471, 74613, 33.26
ABBOTINDIA, EQ, 29-Jun-2020, 15956.35, 15835.00, 15973.95, 15651.20, 15810.00, 15727.00, 15771.89, 8758, 1381.30, 4183, 4705, 53.72
ABCAPITAL, EQ, 29-Jun-2020, 64.25, 63.95, 66.60, 60.15, 65.85, 65.75, 63.58, 5135361, 3265.19, 20751, 1923908, 37.46
ABFRL, EQ, 29-Jun-2020, 129.30, 129.00, 130.95, 125.00, 129.50, 127.40, 126.85, 2024638, 2568.28, 33286, 1069549, 52.83
ABMINTLTD, BE, 29-Jun-2020, 12.40, 13.00, 13.00, 13.00, 13.00, 13.00, 13.00, 13, 0.00, 1, -, -
ABSLBANETF, EQ, 29-Jun-2020, 215.78, 213.82, 229.90, 205.94, 215.00, 215.00, 216.47, 219, 0.47, 25, 181, 82.65
ABSLNN50ET, EQ, 29-Jun-2020, 267.27, 266.96, 266.96, 257.00, 257.10, 257.10, 257.12, 105, 0.27, 7, 103, 98.10
ACC, EQ, 29-Jun-2020, 1288.60, 1279.95, 1293.85, 1265.50, 1285.00, 1289.20, 1281.21, 825890, 10581.36, 30370, 207316, 25.10
ACCELYA, EQ, 29-Jun-2020, 919.55, 923.00, 930.00, 917.65, 920.00, 920.85, 920.56, 8851, 81.48, 970, 6811, 76.95
ACCURACY, SM, 29-Jun-2020, 35.35, 37.10, 37.10, 33.60, 33.60, 33.60, 35.04, 41600, 14.58, 21, 41600, 100.00
ACE, EQ, 29-Jun-2020, 56.10, 56.50, 56.90, 54.20, 54.95, 54.75, 55.18, 258349, 142.56, 2360, 90886, 35.18
ADANIENT, EQ, 29-Jun-2020, 162.15, 161.40, 163.55, 156.75, 159.35, 159.75, 159.67, 2937549, 4690.27, 19915, 483891, 16.47
ADANIGAS, EQ, 29-Jun-2020, 165.85, 164.65, 164.85, 155.50, 156.00, 157.35, 159.62, 2611285, 4168.02, 24571, 857749, 32.85
