SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 22-Jun-2020, 31.30, 32.20, 33.70, 30.75, 33.50, 33.05, 32.41, 213131, 69.08, 2034, 127710, 59.92
21STCENMGM, EQ, 22-Jun-2020, 10.80, 11.00, 11.00, 10.60, 10.75, 10.75, 10.85, 7336, 0.80, 52, 4836, 65.92
3IINFOTECH, EQ, 22-Jun-2020, 2.60, 2.65, 2.70, 2.50, 2.60, 2.60, 2.62, 12659964, 331.46, 3844, 7280124, 57.51
3MINDIA, EQ, 22-Jun-2020, 18593.30, 18565.00, 18699.00, 18395.70, 18623.60, 18514.95, 18537.07, 6789, 1258.48, 3134, 4831, 71.16
5PAISA, EQ, 22-Jun-2020, 177.30, 174.05, 194.00, 174.00, 194.00, 188.65, 183.80, 21123, 38.82, 600, 15909, 75.32
601GS2028, GS, 22-Jun-2020, 86.90, 82.59, 82.59, 82.59, 82.59, 82.59, 82.59, 1, 0.00, 1, 1, 100.00
63MOONS, BE, 22-Jun-2020, 80.80, 82.85, 82.85, 79.00, 80.50, 81.25, 81.16, 17960, 14.58, 314, -, -
645GS2029, GS, 22-Jun-2020, 103.00, 103.00, 103.00, 103.00, 103.00, 103.00, 103.00, 100, 0.10, 1, 100, 100.00
719GS2060, GS, 22-Jun-2020, 114.00, 108.40, 108.40, 108.40, 108.40, 108.40, 108.40, 98, 0.11, 1, 98, 100.00
732GS2024, GS, 22-Jun-2020, 100.00, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 100, 0.11, 1, 100, 100.00
757GS2033, GS, 22-Jun-2020, 112.00, 115.50, 115.50, 115.50, 115.50, 115.50, 115.50, 3, 0.00, 1, 3, 100.00
A2ZINFRA, EQ, 22-Jun-2020, 4.80, 5.00, 5.00, 5.00, 5.00, 5.00, 5.00, 66714, 3.34, 91, 66714, 100.00
AARTIDRUGS, EQ, 22-Jun-2020, 1064.55, 1070.00, 1143.00, 1062.80, 1138.95, 1132.90, 1111.07, 191904, 2132.19, 13588, 109977, 57.31
AARTIIND, EQ, 22-Jun-2020, 961.20, 964.45, 980.00, 954.50, 978.00, 977.35, 969.17, 813248, 7881.75, 32792, 452201, 55.60
AARVEEDEN, BE, 22-Jun-2020, 11.45, 12.00, 12.00, 10.90, 11.30, 11.60, 11.12, 27876, 3.10, 72, -, -
AAVAS, EQ, 22-Jun-2020, 1366.60, 1390.00, 1399.00, 1350.00, 1365.00, 1371.95, 1384.60, 143610, 1988.42, 6592, 117969, 82.15
ABAN, EQ, 22-Jun-2020, 24.70, 24.70, 25.90, 23.80, 25.10, 25.05, 25.04, 198257, 49.65, 1074, 109961, 55.46
ABB, EQ, 22-Jun-2020, 813.00, 825.00, 839.80, 822.05, 832.05, 832.30, 831.65, 175107, 1456.27, 7729, 74470, 42.53
ABBOTINDIA, EQ, 22-Jun-2020, 15658.45, 15658.45, 15800.00, 15594.00, 15786.05, 15755.25, 15698.90, 15786, 2478.23, 5723, 8766, 55.53
ABCAPITAL, EQ, 22-Jun-2020, 55.20, 55.85, 59.55, 55.40, 58.60, 57.95, 58.09, 10325423, 5998.54, 49775, 2994399, 29.00
ABFRL, EQ, 22-Jun-2020, 133.10, 135.40, 135.45, 132.50, 132.85, 133.15, 133.60, 2145769, 2866.68, 26324, 1029449, 47.98
ABSLBANETF, EQ, 22-Jun-2020, 202.49, 210.91, 223.95, 209.85, 212.80, 218.06, 215.88, 457, 0.99, 44, 442, 96.72
ABSLNN50ET, EQ, 22-Jun-2020, 258.00, 250.70, 271.98, 250.70, 259.97, 262.50, 263.72, 267, 0.70, 49, 144, 53.93
ACC, EQ, 22-Jun-2020, 1272.00, 1273.00, 1278.80, 1257.10, 1265.00, 1263.45, 1267.05, 498504, 6316.30, 23089, 70135, 14.07
ACCELYA, EQ, 22-Jun-2020, 945.55, 945.55, 953.00, 925.15, 930.45, 928.80, 937.08, 10866, 101.82, 1279, 6248, 57.50
ACCURACY, SM, 22-Jun-2020, 27.80, 29.00, 29.15, 29.00, 29.15, 29.15, 29.14, 38400, 11.19, 8, 35200, 91.67
ACE, EQ, 22-Jun-2020, 58.00, 58.40, 60.35, 56.50, 57.00, 56.85, 58.53, 529903, 310.14, 4346, 187799, 35.44
ADANIENT, EQ, 22-Jun-2020, 152.70, 154.50, 156.20, 153.60, 154.80, 154.65, 155.10, 4663344, 7232.78, 18868, 2797388, 59.99
ADANIGAS, EQ, 22-Jun-2020, 142.35, 143.90, 151.70, 143.55, 148.65, 148.45, 147.84, 4901103, 7245.87, 35250, 1568534, 32.00
ADANIGREEN, EQ, 22-Jun-2020, 420.65, 441.65, 441.65, 439.00, 441.65, 441.65, 441.34, 1646544, 7266.83, 17958, 913452, 55.48
ADANIPORTS, EQ, 22-Jun-2020, 348.90, 350.00, 353.90, 346.70, 349.50, 349.60, 350.50, 2515842, 8818.07, 44862, 502324, 19.97
ADANIPOWER, EQ, 22-Jun-2020, 38.00, 38.55, 38.60, 35.95, 38.05, 38.20, 37.57, 28617224, 10750.89, 43259, 7432760, 25.97
ADANITRANS, EQ, 22-Jun-2020, 221.25, 223.00, 232.30, 222.20, 230.25, 231.00, 230.05, 3130057, 7200.63, 12655, 1869511, 59.73
ADFFOODS, EQ, 22-Jun-2020, 309.35, 309.35, 320.45, 301.55, 309.10, 311.05, 312.59, 125966, 393.76, 3079, 60834, 48.29
ADHUNIKIND, EQ, 22-Jun-2020, 18.75, 18.00, 19.50, 18.00, 19.20, 19.20, 19.09, 39444, 7.53, 502, 30863, 78.25
ADORWELD, EQ, 22-Jun-2020, 252.45, 256.90, 264.90, 250.00, 256.20, 255.15, 257.03, 12018, 30.89, 594, 5880, 48.93
ADROITINFO, EQ, 22-Jun-2020, 7.45, 7.40, 7.60, 7.10, 7.50, 7.40, 7.35, 25479, 1.87, 160, 11328, 44.46
ADSL, EQ, 22-Jun-2020, 17.95, 17.25, 18.30, 17.25, 17.50, 17.55, 17.66, 53945, 9.52, 259, 43421, 80.49
ADVANIHOTR, EQ, 22-Jun-2020, 44.70, 46.00, 46.70, 44.70, 46.00, 45.95, 45.85, 9732, 4.46, 188, 7211, 74.10
ADVENZYMES, EQ, 22-Jun-2020, 167.10, 169.35, 172.05, 163.70, 167.85, 167.30, 168.49, 137668, 231.95, 2780, 76856, 55.83
AEGISCHEM, EQ, 22-Jun-2020, 186.10, 187.90, 200.00, 187.90, 197.25, 197.65, 194.61, 333453, 648.93, 7137, 156327, 46.88
AFFLE, EQ, 22-Jun-2020, 1480.45, 1489.85, 1500.05, 1475.25, 1489.95, 1485.15, 1484.87, 21009, 311.96, 2937, 11881, 56.55
AGARIND, EQ, 22-Jun-2020, 70.80, 71.40, 74.00, 68.10, 69.60, 69.85, 71.44, 30409, 21.73, 465, 21542, 70.84
AGCNET, EQ, 22-Jun-2020, 305.40, 308.55, 309.00, 296.75, 305.00, 305.35, 304.45, 2785, 8.48, 197, 1902, 68.29
AGRITECH, BE, 22-Jun-2020, 36.00, 35.50, 36.60, 35.00, 36.00, 36.15, 35.66, 5763, 2.06, 64, -, -
AGROPHOS, EQ, 22-Jun-2020, 13.95, 14.60, 14.60, 13.35, 14.45, 14.45, 14.28, 90295, 12.89, 1138, 62920, 69.68
AHLADA, SM, 22-Jun-2020, 44.00, 44.00, 44.00, 44.00, 44.00, 44.00, 44.00, 1000, 0.44, 1, 1000, 100.00
AHLEAST, EQ, 22-Jun-2020, 140.55, 147.85, 147.85, 131.00, 143.00, 143.50, 139.04, 2577, 3.58, 112, 1849, 71.75
AHLUCONT, EQ, 22-Jun-2020, 192.85, 201.00, 205.00, 192.85, 196.70, 195.80, 197.63, 18471, 36.50, 682, 10156, 54.98
AHLWEST, EQ, 22-Jun-2020, 266.55, 254.05, 278.00, 254.05, 274.80, 274.80, 268.27, 419, 1.12, 65, 212, 50.60
AIAENG, EQ, 22-Jun-2020, 1614.65, 1608.95, 1658.00, 1590.00, 1604.25, 1608.90, 1615.65, 82152, 1327.29, 8314, 19741, 24.03
