SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 08-Dec-2020, 35.05, 35.40, 37.15, 35.05, 36.35, 36.25, 36.26, 331615, 120.23, 2025, 200171, 60.36
21STCENMGM, EQ, 08-Dec-2020, 9.90, 9.90, 10.05, 9.75, 9.90, 9.90, 9.94, 8940, 0.89, 37, 7538, 84.32
3IINFOTECH, EQ, 08-Dec-2020, 3.95, 4.10, 4.10, 4.00, 4.10, 4.10, 4.10, 6965516, 285.44, 1800, 4690399, 67.34
3MINDIA, EQ, 08-Dec-2020, 22869.10, 22721.00, 23000.00, 22450.25, 22800.00, 22776.95, 22786.92, 4175, 951.35, 2112, 1505, 36.05
3PLAND, EQ, 08-Dec-2020, 10.25, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 5720, 0.61, 29, 5720, 100.00
522GS2025, GS, 08-Dec-2020, 96.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 100, 0.10, 1, 100, 100.00
5PAISA, EQ, 08-Dec-2020, 339.25, 345.25, 372.00, 335.75, 354.05, 354.55, 349.77, 27528, 96.28, 1026, 17765, 64.53
63MOONS, BE, 08-Dec-2020, 80.90, 76.90, 84.90, 76.90, 84.50, 83.90, 78.85, 184507, 145.48, 1249, -, -
719GS2060, GS, 08-Dec-2020, 114.40, 113.00, 113.00, 113.00, 113.00, 113.00, 113.00, 1, 0.00, 1, 1, 100.00
757GS2033, GS, 08-Dec-2020, 106.70, 110.00, 110.00, 106.70, 106.70, 106.70, 106.80, 100, 0.11, 2, 100, 100.00
772GS2055, GS, 08-Dec-2020, 118.44, 118.50, 118.50, 114.00, 114.00, 114.01, 114.26, 3650, 4.17, 6, 3650, 100.00
824GS2027, GS, 08-Dec-2020, 100.97, 104.10, 104.10, 104.10, 104.10, 104.10, 104.10, 1, 0.00, 1, 1, 100.00
8KMILES, BE, 08-Dec-2020, 80.30, 76.30, 81.00, 76.30, 79.35, 78.65, 79.08, 34548, 27.32, 478, -, -
A2ZINFRA, EQ, 08-Dec-2020, 5.10, 5.30, 5.30, 4.85, 4.90, 4.90, 4.98, 655341, 32.64, 743, 483554, 73.79
AAATECH, SM, 08-Dec-2020, 42.70, 43.00, 43.00, 42.50, 42.50, 42.50, 42.73, 9000, 3.85, 3, 9000, 100.00
AAKASH, EQ, 08-Dec-2020, 54.20, 53.80, 55.50, 53.05, 54.75, 54.70, 54.13, 53528, 28.97, 647, 21348, 39.88
AARON, EQ, 08-Dec-2020, 51.80, 49.25, 51.95, 49.25, 49.25, 49.55, 50.34, 34863, 17.55, 341, 18638, 53.46
AARTIDRUGS, EQ, 08-Dec-2020, 791.05, 800.00, 811.00, 776.30, 792.15, 789.95, 796.39, 1194939, 9516.39, 42795, 432356, 36.18
AARTIIND, EQ, 08-Dec-2020, 1246.65, 1266.25, 1287.00, 1241.00, 1260.00, 1266.80, 1262.06, 419293, 5291.73, 31995, 218184, 52.04
AARTISURF, EQ, 08-Dec-2020, 1021.25, 980.00, 1031.25, 970.20, 982.30, 995.95, 988.35, 95009, 939.02, 5889, 45125, 47.50
AARVEEDEN, EQ, 08-Dec-2020, 13.55, 14.50, 14.75, 12.65, 13.55, 13.65, 13.66, 72657, 9.93, 448, 44929, 61.84
AARVI, EQ, 08-Dec-2020, 40.50, 41.50, 41.95, 40.00, 40.70, 40.70, 40.59, 3416, 1.39, 39, 2826, 82.73
AAVAS, EQ, 08-Dec-2020, 1684.75, 1688.80, 1688.80, 1635.00, 1659.00, 1649.55, 1659.92, 34288, 569.15, 5093, 18292, 53.35
ABAN, BE, 08-Dec-2020, 29.45, 29.40, 30.30, 28.75, 29.55, 29.60, 29.48, 87234, 25.72, 546, -, -
ABB, EQ, 08-Dec-2020, 1154.95, 1165.00, 1190.00, 1148.00, 1152.00, 1154.80, 1165.15, 225515, 2627.58, 9642, 140905, 62.48
ABBOTINDIA, EQ, 08-Dec-2020, 15293.05, 15300.00, 15500.00, 15280.10, 15300.00, 15389.85, 15414.24, 27356, 4216.72, 6171, 16495, 60.30
ABCAPITAL, EQ, 08-Dec-2020, 92.30, 92.75, 95.30, 90.55, 92.75, 92.85, 93.26, 5405059, 5040.82, 42961, 1760343, 32.57
ABFRL, EQ, 08-Dec-2020, 161.15, 164.00, 164.40, 158.10, 159.70, 159.65, 160.66, 1481770, 2380.56, 28801, 709829, 47.90
ABFRLPP, E1, 08-Dec-2020, 104.00, 106.00, 106.75, 102.05, 104.10, 104.00, 104.69, 9222, 9.65, 129, 6494, 70.42
ABMINTLTD, BE, 08-Dec-2020, 23.70, 23.50, 24.85, 22.55, 24.85, 24.80, 24.15, 2513, 0.61, 43, -, -
ABSLBANETF, EQ, 08-Dec-2020, 301.37, 302.90, 310.41, 296.70, 302.90, 301.09, 300.56, 40, 0.12, 15, 34, 85.00
ABSLNN50ET, EQ, 08-Dec-2020, 304.41, 295.70, 309.90, 293.50, 299.03, 307.89, 306.41, 175, 0.54, 23, 139, 79.43
ABSLRIF6RG, MF, 08-Dec-2020, 6.71, 6.70, 6.70, 6.15, 6.54, 6.54, 6.37, 20752, 1.32, 6, 20752, 100.00
ACC, EQ, 08-Dec-2020, 1660.55, 1669.00, 1700.00, 1665.20, 1685.00, 1684.50, 1681.57, 2224442, 37405.50, 70620, 485153, 21.81
ACCELYA, EQ, 08-Dec-2020, 899.25, 914.00, 914.00, 890.45, 897.00, 892.30, 897.33, 6852, 61.49, 1058, 4068, 59.37
ACCURACY, SM, 08-Dec-2020, 27.65, 28.90, 29.00, 27.05, 27.05, 27.05, 28.32, 4800, 1.36, 3, 3200, 66.67
ACE, EQ, 08-Dec-2020, 123.55, 124.40, 125.40, 120.10, 122.50, 122.95, 123.01, 309954, 381.27, 6052, 190620, 61.50
ADANIENT, EQ, 08-Dec-2020, 457.55, 457.55, 462.30, 446.55, 450.80, 451.90, 454.47, 3872952, 17601.47, 39842, 407525, 10.52
ADANIGAS, EQ, 08-Dec-2020, 360.60, 362.65, 364.35, 353.00, 355.20, 355.20, 356.52, 2373827, 8463.09, 24650, 1256881, 52.95
ADANIGREEN, EQ, 08-Dec-2020, 1106.25, 1109.00, 1123.10, 1088.00, 1097.00, 1098.65, 1101.60, 998344, 10997.72, 59846, 584381, 58.54
ADANIPORTS, EQ, 08-Dec-2020, 471.50, 472.70, 474.70, 457.55, 463.50, 463.35, 463.51, 9218366, 42727.77, 105341, 2356232, 25.56
ADANIPOWER, EQ, 08-Dec-2020, 56.80, 57.05, 57.85, 52.00, 52.50, 52.40, 54.32, 33820042, 18371.28, 93883, 14310768, 42.31
ADANITRANS, EQ, 08-Dec-2020, 440.05, 435.95, 439.70, 415.10, 431.70, 431.90, 428.13, 956906, 4096.76, 23543, 390388, 40.80
ADFFOODS, EQ, 08-Dec-2020, 619.30, 617.85, 618.75, 565.00, 582.95, 583.80, 587.68, 323732, 1902.52, 14853, 107305, 33.15
ADHUNIKIND, EQ, 08-Dec-2020, 25.10, 28.50, 30.10, 27.00, 30.10, 30.10, 29.49, 721882, 212.87, 2621, 292231, 40.48
ADL, BE, 08-Dec-2020, 23.65, 23.45, 24.80, 23.20, 24.80, 24.35, 24.24, 7138, 1.73, 38, -, -
ADORWELD, EQ, 08-Dec-2020, 256.85, 256.85, 266.00, 256.20, 258.00, 257.55, 260.08, 51785, 134.68, 1351, 30060, 58.05
ADROITINFO, BE, 08-Dec-2020, 7.00, 7.30, 7.35, 7.00, 7.35, 7.35, 7.21, 7010, 0.51, 16, -, -
ADSL, EQ, 08-Dec-2020, 29.80, 30.70, 30.70, 28.65, 29.70, 29.70, 29.97, 137276, 41.14, 734, 91271, 66.49
ADVANIHOTR, BE, 08-Dec-2020, 57.40, 58.90, 58.90, 55.50, 56.60, 56.60, 56.86, 7114, 4.05, 109, -, -
ADVENZYMES, EQ, 08-Dec-2020, 348.60, 349.00, 350.50, 339.05, 345.40, 342.20, 344.24, 132801, 457.16, 9279, 68882, 51.87
AEGISCHEM, EQ, 08-Dec-2020, 266.60, 268.55, 275.30, 263.35, 266.90, 267.35, 269.93, 407053, 1098.74, 12189, 198729, 48.82
AFFLE, EQ, 08-Dec-2020, 3744.05, 3761.00, 3823.75, 3611.20, 3687.00, 3685.05, 3709.50, 77140, 2861.51, 16426, 41871, 54.28
AGARIND, EQ, 08-Dec-2020, 109.20, 110.00, 111.10, 99.90, 102.00, 101.75, 104.21, 80254, 83.63, 1242, 46255, 57.64
AGCNET, BE, 08-Dec-2020, 606.85, 629.85, 629.85, 588.00, 588.00, 597.45, 602.30, 7288, 43.90, 110, -, -
AGRITECH, EQ, 08-Dec-2020, 38.60, 42.00, 46.30, 40.55, 46.30, 46.30, 44.73, 298051, 133.33, 2270, 110604, 37.11
AGROPHOS, EQ, 08-Dec-2020, 14.35, 15.05, 15.05, 14.35, 15.05, 15.05, 14.92, 140591, 20.98, 515, 113797, 80.94
AHLADA, SM, 08-Dec-2020, 80.40, 83.80, 88.00, 83.80, 86.00, 86.00, 84.90, 13000, 11.04, 11, 12000, 92.31
AHLEAST, EQ, 08-Dec-2020, 155.05, 151.10, 167.85, 151.10, 157.40, 158.35, 161.37, 18186, 29.35, 605, 7137, 39.24
AHLUCONT, EQ, 08-Dec-2020, 265.05, 269.55, 269.55, 253.75, 260.00, 259.75, 260.32, 33387, 86.91, 1329, 18258, 54.69
AHLWEST, EQ, 08-Dec-2020, 287.15, 304.50, 339.40, 282.10, 295.85, 297.20, 303.11, 11406, 34.57, 1082, 5052, 44.29
AIAENG, EQ, 08-Dec-2020, 2071.45, 2076.00, 2076.00, 2021.70, 2044.00, 2039.25, 2045.70, 26185, 535.67, 3165, 18438, 70.41
AIRAN, EQ, 08-Dec-2020, 18.20, 17.30, 19.10, 17.30, 18.85, 18.65, 18.35, 213413, 39.16, 1082, 152252, 71.34
AIROLAM, SM, 08-Dec-2020, 27.55, 25.00, 28.45, 25.00, 28.45, 28.45, 27.15, 9000, 2.44, 3, 9000, 100.00
AISL, SM, 08-Dec-2020, 21.50, 21.00, 21.00, 20.45, 20.75, 20.75, 20.73, 7200, 1.49, 6, 3600, 50.00
AJANTPHARM, EQ, 08-Dec-2020, 1679.75, 1690.00, 1711.70, 1669.80, 1680.00, 1683.05, 1687.93, 250983, 4236.43, 21713, 66832, 26.63
AJMERA, EQ, 08-Dec-2020, 120.75, 120.10, 123.20, 116.20, 118.50, 117.80, 119.23, 188215, 224.42, 3439, 82820, 44.00
AJOONI, SM, 08-Dec-2020, 32.30, 30.85, 31.65, 30.75, 31.65, 31.65, 31.45, 40000, 12.58, 10, 28000, 70.00
AKASH, EQ, 08-Dec-2020, 248.95, 259.50, 259.50, 245.10, 245.10, 251.20, 251.06, 27696, 69.53, 126, 25845, 93.32
AKG, SM, 08-Dec-2020, 42.00, 44.40, 44.40, 44.40, 44.40, 44.40, 44.40, 6400, 2.84, 1, 6400, 100.00
AKSHARCHEM, EQ, 08-Dec-2020, 237.00, 238.00, 241.70, 230.00, 232.80, 232.95, 234.65, 58187, 136.54, 2244, 32375, 55.64
AKSHOPTFBR, EQ, 08-Dec-2020, 7.10, 7.10, 7.80, 7.10, 7.80, 7.80, 7.71, 673529, 51.93, 1204, 431967, 64.13
AKZOINDIA, EQ, 08-Dec-2020, 2234.50, 2274.00, 2280.05, 2203.55, 2237.00, 2234.70, 2236.39, 9017, 201.66, 1975, 5063, 56.15
ALANKIT, EQ, 08-Dec-2020, 17.20, 17.25, 17.45, 16.90, 17.25, 17.10, 17.11, 355051, 60.76, 433, 328980, 92.66
ALBERTDAVD, EQ, 08-Dec-2020, 460.55, 468.40, 469.95, 452.40, 455.00, 454.40, 459.13, 16631, 76.36, 1196, 8911, 53.58
ALCHEM, EQ, 08-Dec-2020, 5.50, 5.70, 6.60, 5.55, 6.60, 6.60, 6.17, 182720, 11.28, 506, 148723, 81.39
ALEMBICLTD, EQ, 08-Dec-2020, 105.75, 106.00, 106.75, 102.50, 104.00, 103.95, 104.49, 390558, 408.11, 4282, 201264, 51.53
ALICON, EQ, 08-Dec-2020, 367.05, 367.20, 369.35, 355.10, 362.00, 362.05, 362.27, 4007, 14.52, 397, 2774, 69.23
ALKALI, EQ, 08-Dec-2020, 48.30, 48.95, 48.95, 47.80, 48.25, 48.15, 48.25, 20133, 9.71, 291, 10508, 52.19
ALKEM, EQ, 08-Dec-2020, 2921.10, 2948.00, 2966.00, 2884.40, 2911.75, 2910.40, 2910.42, 136226, 3964.74, 13432, 72378, 53.13
ALKYLAMINE, EQ, 08-Dec-2020, 3896.95, 3959.95, 3959.95, 3878.10, 3905.00, 3902.40, 3908.73, 23812, 930.75, 5031, 12041, 50.57
