SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 07-Jul-2020, 33.20, 33.55, 33.55, 32.00, 32.20, 32.20, 32.35, 76551, 24.76, 817, 51099, 66.75
21STCENMGM, EQ, 07-Jul-2020, 11.15, 11.35, 11.35, 10.95, 11.30, 11.30, 11.20, 1175, 0.13, 18, 1143, 97.28
3IINFOTECH, EQ, 07-Jul-2020, 2.50, 2.40, 2.60, 2.40, 2.60, 2.60, 2.52, 6413751, 161.42, 2746, 4482686, 69.89
3MINDIA, EQ, 07-Jul-2020, 18962.65, 18972.00, 19600.00, 18687.25, 19205.00, 19311.80, 19305.90, 6194, 1195.81, 2645, 3672, 59.28
509GS2022, GS, 07-Jul-2020, 103.95, 99.00, 103.50, 99.00, 103.50, 103.50, 101.25, 2, 0.00, 2, 1, 50.00
5PAISA, EQ, 07-Jul-2020, 235.25, 235.25, 247.40, 230.30, 243.05, 244.85, 241.24, 28138, 67.88, 1000, 19362, 68.81
63MOONS, BE, 07-Jul-2020, 74.40, 75.00, 75.00, 73.00, 73.00, 73.90, 74.25, 10542, 7.83, 144, -, -
716GS2050, GS, 07-Jul-2020, 112.00, 106.44, 106.44, 106.44, 106.44, 106.44, 106.44, 100, 0.11, 2, 100, 100.00
732GS2024, GS, 07-Jul-2020, 105.00, 104.00, 105.00, 104.00, 105.00, 105.00, 104.10, 1000, 1.04, 3, 1000, 100.00
74GS2035, GS, 07-Jul-2020, 101.00, 100.05, 100.05, 100.05, 100.05, 100.05, 100.05, 100, 0.10, 1, 100, 100.00
762GS2039, GS, 07-Jul-2020, 117.95, 112.42, 112.42, 112.42, 112.42, 112.42, 112.42, 1, 0.00, 1, 1, 100.00
769GS2043, GS, 07-Jul-2020, 114.47, 112.00, 112.00, 112.00, 112.00, 112.00, 112.00, 200, 0.22, 1, 200, 100.00
772GS2049, GS, 07-Jul-2020, 119.00, 118.00, 118.00, 113.09, 113.09, 113.09, 116.58, 211, 0.25, 5, 211, 100.00
813GS2045, GS, 07-Jul-2020, 97.24, 102.10, 102.10, 102.10, 102.10, 102.10, 102.10, 1, 0.00, 1, 1, 100.00
A2ZINFRA, EQ, 07-Jul-2020, 5.15, 5.00, 5.10, 4.90, 4.90, 4.90, 4.94, 204269, 10.08, 264, 110462, 54.08
AAKASH, SM, 07-Jul-2020, 23.95, 25.10, 25.10, 25.10, 25.10, 25.10, 25.10, 3000, 0.75, 1, 3000, 100.00
AARON, SM, 07-Jul-2020, 45.00, 44.10, 44.75, 44.10, 44.75, 44.75, 44.52, 9900, 4.41, 3, 9900, 100.00
AARTIDRUGS, EQ, 07-Jul-2020, 1320.40, 1320.10, 1335.00, 1310.55, 1321.40, 1326.45, 1326.91, 48122, 638.54, 2630, 26173, 54.39
AARTIIND, EQ, 07-Jul-2020, 928.05, 932.00, 940.00, 929.00, 930.00, 929.95, 934.09, 213797, 1997.06, 15935, 103866, 48.58
AARVEEDEN, BE, 07-Jul-2020, 11.35, 11.60, 11.60, 10.80, 11.60, 11.60, 11.42, 2110, 0.24, 31, -, -
AARVI, EQ, 07-Jul-2020, 36.20, 38.00, 38.00, 38.00, 38.00, 38.00, 38.00, 2718, 1.03, 14, 2718, 100.00
AAVAS, EQ, 07-Jul-2020, 1368.15, 1368.15, 1377.05, 1348.00, 1371.00, 1373.25, 1364.66, 19350, 264.06, 2204, 11835, 61.16
ABAN, EQ, 07-Jul-2020, 28.35, 28.50, 29.40, 27.90, 28.80, 28.95, 28.56, 154573, 44.15, 934, 99644, 64.46
ABB, EQ, 07-Jul-2020, 983.40, 987.50, 988.95, 957.25, 959.00, 961.40, 964.78, 298468, 2879.57, 10437, 72312, 24.23
ABBOTINDIA, EQ, 07-Jul-2020, 15723.40, 15723.40, 15900.00, 15672.05, 15765.00, 15811.70, 15774.35, 9520, 1501.72, 2299, 5991, 62.93
ABCAPITAL, EQ, 07-Jul-2020, 65.65, 65.80, 67.10, 64.50, 66.15, 66.35, 66.03, 3951186, 2608.79, 15542, 1153379, 29.19
ABFRL, EQ, 07-Jul-2020, 127.50, 127.50, 130.75, 125.50, 126.40, 126.45, 128.48, 2867399, 3684.11, 33438, 1363031, 47.54
ABMINTLTD, BE, 07-Jul-2020, 13.00, 12.50, 12.50, 12.50, 12.50, 12.50, 12.50, 7, 0.00, 1, -, -
ABSLBANETF, EQ, 07-Jul-2020, 221.63, 221.00, 223.10, 218.00, 220.06, 220.06, 218.53, 217, 0.47, 24, 201, 92.63
ABSLNN50ET, EQ, 07-Jul-2020, 268.39, 269.99, 269.99, 262.00, 262.07, 265.56, 262.92, 132, 0.35, 20, 105, 79.55
ABSLRIF6RG, MF, 07-Jul-2020, 5.83, 5.83, 5.85, 5.83, 5.85, 5.85, 5.83, 1300, 0.08, 2, 1300, 100.00
