SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 22-Dec-2020, 36.40, 37.00, 40.70, 35.00, 40.00, 39.90, 38.29, 430444, 164.81, 2601, 237064, 55.07
21STCENMGM, EQ, 22-Dec-2020, 10.35, 10.30, 10.30, 10.15, 10.20, 10.15, 10.16, 941, 0.10, 26, 941, 100.00
3IINFOTECH, EQ, 22-Dec-2020, 4.75, 4.75, 4.95, 4.55, 4.95, 4.95, 4.70, 10289152, 483.24, 5459, 5181118, 50.36
3MINDIA, EQ, 22-Dec-2020, 21243.05, 21549.00, 21630.00, 20800.00, 21000.00, 21033.75, 21045.44, 7169, 1508.75, 4234, 3280, 45.75
3PLAND, EQ, 22-Dec-2020, 10.15, 9.65, 9.65, 9.65, 9.65, 9.65, 9.65, 3026, 0.29, 13, 3026, 100.00
5PAISA, EQ, 22-Dec-2020, 287.45, 287.45, 287.45, 264.35, 282.00, 278.45, 271.81, 27213, 73.97, 3175, 16701, 61.37
63MOONS, BE, 22-Dec-2020, 77.50, 75.10, 81.00, 73.65, 78.00, 78.75, 76.63, 39405, 30.20, 473, -, -
667GS2050, GS, 22-Dec-2020, 103.50, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 500, 0.50, 1, 500, 100.00
68GS2060, GS, 22-Dec-2020, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 105.00, 500, 0.53, 1, 500, 100.00
706GS2046, GS, 22-Dec-2020, 100.01, 100.01, 100.01, 100.01, 100.01, 100.01, 100.01, 100, 0.10, 1, 100, 100.00
719GS2060, GS, 22-Dec-2020, 114.87, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 205, 0.23, 3, 205, 100.00
772GS2055, GS, 22-Dec-2020, 117.00, 115.50, 115.50, 115.50, 115.50, 115.50, 115.50, 8, 0.01, 1, 8, 100.00
8KMILES, BE, 22-Dec-2020, 75.85, 74.00, 75.85, 72.90, 74.00, 74.80, 73.87, 21757, 16.07, 295, -, -
A2ZINFRA, EQ, 22-Dec-2020, 4.40, 4.10, 4.45, 4.05, 4.30, 4.35, 4.25, 326494, 13.87, 445, 189386, 58.01
AAATECH, SM, 22-Dec-2020, 42.45, 42.30, 42.30, 42.30, 42.30, 42.30, 42.30, 6000, 2.54, 2, 6000, 100.00
AAKASH, EQ, 22-Dec-2020, 61.00, 59.15, 64.50, 59.00, 64.40, 64.40, 60.45, 48747, 29.47, 547, 21121, 43.33
AARON, EQ, 22-Dec-2020, 50.15, 48.35, 49.85, 47.65, 49.75, 48.95, 48.26, 19520, 9.42, 95, 11418, 58.49
