SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 10-Dec-2020, 36.00, 36.00, 36.00, 34.75, 35.50, 35.55, 35.29, 67123, 23.68, 646, 36709, 54.69
21STCENMGM, EQ, 10-Dec-2020, 10.05, 10.05, 10.25, 9.85, 10.25, 10.25, 10.11, 12780, 1.29, 134, 11220, 87.79
3IINFOTECH, EQ, 10-Dec-2020, 4.30, 4.50, 4.50, 4.50, 4.50, 4.50, 4.50, 1151446, 51.82, 588, 1151446, 100.00
3MINDIA, EQ, 10-Dec-2020, 22550.50, 22300.00, 23200.00, 22073.15, 22631.00, 22523.05, 22603.35, 4689, 1059.87, 1874, 2234, 47.64
3PLAND, EQ, 10-Dec-2020, 11.25, 11.80, 11.80, 11.80, 11.80, 11.80, 11.80, 9408, 1.11, 30, 9408, 100.00
522GS2025, GS, 10-Dec-2020, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 90, 0.09, 1, 90, 100.00
5PAISA, EQ, 10-Dec-2020, 334.80, 339.95, 339.95, 322.00, 328.00, 327.50, 327.71, 10375, 34.00, 586, 6567, 63.30
63MOONS, BE, 10-Dec-2020, 83.65, 83.45, 83.45, 80.10, 81.80, 82.05, 81.39, 26060, 21.21, 384, -, -
732GS2024, GS, 10-Dec-2020, 101.10, 101.10, 101.10, 101.10, 101.10, 101.10, 101.10, 100, 0.10, 1, 100, 100.00
762GS2039, GS, 10-Dec-2020, 112.44, 109.00, 109.00, 109.00, 109.00, 109.00, 109.00, 100, 0.11, 1, 100, 100.00
772GS2049, GS, 10-Dec-2020, 120.30, 114.50, 114.50, 114.50, 114.50, 114.50, 114.50, 300, 0.34, 1, 300, 100.00
772GS2055, GS, 10-Dec-2020, 115.33, 115.00, 116.00, 115.00, 116.00, 116.00, 115.31, 3701, 4.27, 12, 3701, 100.00
8KMILES, BE, 10-Dec-2020, 75.00, 75.00, 75.75, 71.85, 73.40, 73.20, 73.09, 36941, 27.00, 520, -, -
A2ZINFRA, EQ, 10-Dec-2020, 4.80, 4.80, 4.80, 4.35, 4.45, 4.35, 4.42, 1081985, 47.82, 916, 703478, 65.02
AAATECH, SM, 10-Dec-2020, 42.55, 42.50, 42.95, 42.40, 42.40, 42.45, 42.59, 12000, 5.11, 4, 12000, 100.00
AAKASH, EQ, 10-Dec-2020, 55.25, 55.30, 56.00, 54.00, 56.00, 55.40, 54.93, 84171, 46.23, 824, 29505, 35.05
AARON, EQ, 10-Dec-2020, 49.70, 49.70, 51.00, 48.05, 50.20, 49.85, 49.44, 5390, 2.66, 128, 3186, 59.11
AARTIDRUGS, EQ, 10-Dec-2020, 781.25, 780.00, 780.00, 762.00, 767.00, 766.80, 767.35, 475398, 3647.97, 19340, 186615, 39.25
