SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 22-Sep-2020, 28.25, 28.25, 28.90, 25.35, 27.30, 27.30, 26.96, 62817, 16.93, 570, 33474, 53.29
21STCENMGM, EQ, 22-Sep-2020, 10.45, 10.45, 10.45, 10.40, 10.40, 10.40, 10.40, 621, 0.06, 14, 621, 100.00
3IINFOTECH, EQ, 22-Sep-2020, 3.25, 3.10, 3.20, 3.10, 3.10, 3.10, 3.10, 1507555, 46.79, 1487, 903978, 59.96
3MINDIA, EQ, 22-Sep-2020, 18239.55, 18400.00, 18499.00, 18100.00, 18116.70, 18148.95, 18174.36, 5023, 912.90, 2927, 3354, 66.77
5PAISA, BE, 22-Sep-2020, 361.90, 361.90, 376.80, 343.85, 368.50, 368.00, 360.98, 2830, 10.22, 100, -, -
617GS2021, GS, 22-Sep-2020, 104.00, 103.99, 103.99, 103.99, 103.99, 103.99, 103.99, 1, 0.00, 1, 1, 100.00
63MOONS, EQ, 22-Sep-2020, 73.35, 73.00, 73.35, 70.10, 71.65, 72.05, 71.56, 17743, 12.70, 637, 10913, 61.51
716GS2050, GS, 22-Sep-2020, 110.40, 111.00, 111.00, 111.00, 111.00, 111.00, 111.00, 101, 0.11, 2, 101, 100.00
757GS2033, GS, 22-Sep-2020, 111.00, 112.00, 112.00, 112.00, 112.00, 112.00, 112.00, 100, 0.11, 1, 100, 100.00
75GS2034, GS, 22-Sep-2020, 110.23, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 100, 0.11, 1, 100, 100.00
824GS2027, GS, 22-Sep-2020, 114.50, 108.81, 108.81, 108.81, 108.81, 108.81, 108.81, 100, 0.11, 1, 100, 100.00
8KMILES, EQ, 22-Sep-2020, 40.85, 42.85, 42.85, 42.85, 42.85, 42.85, 42.85, 37254, 15.96, 128, 37250, 99.99
A2ZINFRA, EQ, 22-Sep-2020, 4.20, 4.35, 4.35, 4.00, 4.20, 4.15, 4.12, 290434, 11.97, 246, 174791, 60.18
AAKASH, SM, 22-Sep-2020, 56.00, 53.20, 53.20, 53.20, 53.20, 53.20, 53.20, 3000, 1.60, 1, 3000, 100.00
AARON, SM, 22-Sep-2020, 29.00, 28.60, 30.50, 28.60, 30.50, 30.50, 29.55, 12600, 3.72, 2, 12600, 100.00
AARTIDRUGS, EQ, 22-Sep-2020, 2843.10, 2985.25, 2985.25, 2853.25, 2900.00, 2901.05, 2917.55, 334497, 9759.13, 32544, 97267, 29.08
AARTIIND, EQ, 22-Sep-2020, 1048.05, 1035.00, 1060.05, 1001.00, 1042.00, 1038.25, 1036.66, 347257, 3599.88, 22490, 127008, 36.57
