SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 15-Nov-2022, 92.70, 93.15, 99.90, 92.25, 98.05, 98.10, 97.92, 510509, 499.87, 9777, 225801, 44.23
21STCENMGM, EQ, 15-Nov-2022, 22.75, 22.75, 22.95, 22.30, 22.30, 22.30, 22.56, 13017, 2.94, 91, 10034, 77.08
3IINFOLTD, EQ, 15-Nov-2022, 42.75, 42.50, 43.25, 42.45, 42.75, 42.75, 42.80, 411099, 175.94, 2803, 230061, 55.96
3MINDIA, EQ, 15-Nov-2022, 24483.70, 24650.00, 24900.00, 23844.15, 24100.00, 24134.40, 24496.55, 6457, 1581.74, 3201, 2750, 42.59
3PLAND, EQ, 15-Nov-2022, 17.00, 17.00, 17.30, 16.70, 16.75, 16.95, 16.93, 3789, 0.64, 76, 2949, 77.83
4THDIM, EQ, 15-Nov-2022, 85.60, 87.00, 87.30, 83.90, 84.50, 84.50, 84.68, 1679, 1.42, 67, 1183, 70.46
5PAISA, EQ, 15-Nov-2022, 314.50, 319.00, 319.00, 310.30, 313.00, 314.00, 314.16, 20470, 64.31, 1416, 9982, 48.76
63MOONS, EQ, 15-Nov-2022, 153.75, 153.00, 163.95, 152.65, 156.80, 157.75, 157.99, 76221, 120.42, 1914, 33412, 43.84
664GS2035, GS, 15-Nov-2022, 96.32, 96.30, 96.30, 95.85, 95.85, 95.88, 96.26, 3300, 3.18, 4, 3300, 100.00
667GS2035, GS, 15-Nov-2022, 97.99, 93.20, 97.99, 93.20, 97.00, 97.00, 97.13, 1214, 1.18, 5, 1203, 99.09
667GS2050, GS, 15-Nov-2022, 95.00, 95.00, 95.00, 92.60, 92.60, 92.60, 94.92, 63, 0.06, 4, 63, 100.00
669GS2024, GS, 15-Nov-2022, 101.30, 101.60, 101.60, 101.60, 101.60, 101.60, 101.60, 100, 0.10, 1, 100, 100.00
676GS2061, GS, 15-Nov-2022, 98.00, 93.20, 93.20, 93.20, 93.20, 93.20, 93.20, 5, 0.00, 1, 5, 100.00
699GS2051, GS, 15-Nov-2022, 97.60, 97.01, 97.60, 97.01, 97.60, 97.60, 97.01, 3581, 3.47, 12, 3581, 100.00
710GS2029, GS, 15-Nov-2022, 99.92, 100.00, 100.00, 99.90, 100.00, 99.99, 100.00, 1582, 1.58, 12, 961, 60.75
719GS2060, GS, 15-Nov-2022, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 97.00, 700, 0.68, 2, 700, 100.00
726GS2032, GS, 15-Nov-2022, 101.02, 101.75, 101.75, 101.70, 101.70, 101.70, 101.72, 5500, 5.59, 8, 5500, 100.00
736GS2052, GS, 15-Nov-2022, 100.50, 100.90, 100.94, 100.90, 100.94, 100.94, 100.94, 9912, 10.01, 3, 9906, 99.94
738GS2027, GS, 15-Nov-2022, 104.00, 104.25, 104.25, 104.10, 104.10, 104.12, 104.18, 3202, 3.34, 7, 3201, 99.97
74GS2062, GS, 15-Nov-2022, 100.00, 100.00, 101.05, 100.00, 100.50, 100.50, 100.05, 3146, 3.15, 3, 3046, 96.82
754GS2036, GS, 15-Nov-2022, 105.25, 105.75, 105.75, 104.20, 104.99, 104.99, 104.96, 195415, 205.10, 46, 195415, 100.00
